property_value,properties,FT1,FB2
Dextrin,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Maltose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Trehalose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Cellobiose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
Gentiobiose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
Sucrose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Turanose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
Stachyose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Raffinose,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
α-D-Lactose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Melibiose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
β-Methyl- D-Glucoside,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
D-Salicin,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
N-Acetyl- D-Glucosamine,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
N-Acetyl-β-D-Mannosamine,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
N-Acetyl- D-Galactosamine,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
N-Acetyl Neuraminic Acid,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
α-D-Glucose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Mannose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Fructose,Growth_in_different_Carbon_and_Nitrogen_sources,-,-
D-Galactose,Growth_in_different_Carbon_and_Nitrogen_sources,+,BL
3-Methyl Glucose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
D-Fucose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
L-Fucose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
L-Rhamnose,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
Inosine,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
D-Sorbitol,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
D-Mannitol,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
D-Arabitol,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
myo-Inositol,Growth_in_different_Carbon_and_Nitrogen_sources,+,+
Glycerol,Growth_in_different_Carbon_and_Nitrogen_sources,+,-
