property_value,properties,strain,status
Dextrin,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Maltose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Trehalose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Cellobiose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Gentiobiose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Sucrose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Turanose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Stachyose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Raffinose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
α-D-Lactose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Melibiose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
β-Methyl- D-Glucoside,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Salicin,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
N-Acetyl- D-Glucosamine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
N-Acetyl-β-D-Mannosamine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
N-Acetyl- D-Galactosamine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
N-Acetyl Neuraminic Acid,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
α-D-Glucose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Mannose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Fructose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,-
D-Galactose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
3-Methyl Glucose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Fucose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
L-Fucose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
L-Rhamnose,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Inosine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Sorbitol,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Mannitol,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Arabitol,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
myo-Inositol,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Glycerol,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Glucose-6-PO4,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Fructose-6-PO4,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Aspartic Acid,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
D-Serine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
Gelatin,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,-
Glycyl-L-Proline,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
L-Alanine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,-
L-Arginine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,-
L-Aspartic Acid,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,BL
L-Glutamic Acid,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
L-Histidine,Growth_in_different_Carbon_and_Nitrogen_sources,FT1,+
