#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,13848243071,0.80,1000000,2.541666667,0.14,0.096231105
2,11978485443,0.75,1000000,2.541666667,0.09,0.121190778
3,10455714963,0.85,1000000,2.541666667,0.01,0.128587352
4,13463704189,0.83,1000000,2.541666667,0.06,0.099352361
5,12116952348,0.84,1000000,2.541666667,0.09,0.106902083
6,12985101862,0.82,1000000,2.541666667,0.09,0.101586525
7,10988349783,0.83,1000000,2.541666667,0.09,0.120240465
8,13557773551,0.90,1000000,2.541666667,0.07,0.090252174
9,12164893906,0.86,1000000,2.541666667,0.11,0.103152322
10,9.98E+09,0.89,1000000,2.541666667,0.10,0.121664287
11,10930398260,0.83,1000000,2.541666667,0.03,0.124590348
12,10510131936,0.75,1000000,2.541666667,0.06,0.1406921
13,10213561343,0.79,1000000,2.541666667,0.02,0.141336578
14,12835258321,0.83,1000000,2.541666667,0.09,0.101851318
15,10978909537,0.82,1000000,2.541666667,0.07,0.122241069
16,12112370417,0.82,1000000,2.541666667,0.12,0.107634044
17,11965575199,0.76,1000000,2.541666667,0.10,0.11986419
18,13442993533,0.84,1000000,2.541666667,0.09,0.096531244
19,12453437193,0.86,1000000,2.541666667,0.05,0.104549008
20,11202646874,0.84,1000000,2.541666667,0.08,0.116839942
21,11098440641,0.88,1000000,2.541666667,0.06,0.112973809
22,12224666399,0.85,1000000,2.541666667,0.08,0.105971168
23,10368313386,0.85,1000000,2.541666667,0.09,0.123798922
24,10115543803,0.88,1000000,2.541666667,0.08,0.122995318
25,9675686515,0.89,1000000,2.541666667,0.09,0.12695433
26,10577475686,0.85,1000000,2.541666667,0.09,0.120618029
27,13451707010,0.79,1000000,2.541666667,0.06,0.105072302
28,11286021095,0.78,1000000,2.541666667,0.07,0.125645646
29,10834818337,0.85,1000000,2.541666667,0.09,0.117961722
30,13373625147,0.83,1000000,2.541666667,0.08,0.099258734
31,12652213165,0.85,1000000,2.541666667,0.08,0.101175376
32,12190766527,0.86,1000000,2.541666667,0.08,0.104494763
33,9922817399,0.77,1000000,2.541666667,0.04,0.147130991
34,13091544663,0.93,1000000,2.541666667,0.06,0.090852889
35,13373895069,0.84,1000000,2.541666667,0.07,0.098485086
36,12523780885,0.77,1000000,2.541666667,0.10,0.112112341
37,10441149102,0.84,1000000,2.541666667,0.07,0.124821283
38,14256191428,0.72,1000000,2.541666667,0.10,0.106123154
39,11176275864,0.78,1000000,2.541666667,0.09,0.124299112
40,12565538862,0.90,1000000,2.541666667,0.08,0.09670134
41,9552680775,0.81,1000000,2.541666667,0.10,0.139634863
42,12339755604,0.82,1000000,2.541666667,0.07,0.109268536
43,11149793319,0.83,1000000,2.541666667,0.08,0.117834264
44,11030388977,0.75,1000000,2.541666667,0.09,0.132599441
45,12842116158,0.83,1000000,2.541666667,0.06,0.103749797
46,12740479471,0.83,1000000,2.541666667,0.08,0.103358026
