Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1711187740,0.848331673,1000000,3.75,0.073608948,0.651349876,B. thuringiensis (Batch)
1873867100,0.838804914,1000000,3.75,0.095840711,0.598893034,B. thuringiensis (Batch)
1690382543,0.830574406,1000000,3.75,0.020260198,0.68062459,B. thuringiensis (Batch)
1796909397,0.753680143,1000000,3.75,0.053238069,0.701009918,B. thuringiensis (Batch)
1739788546,0.751561103,1000000,3.75,0.058656292,0.725286001,B. thuringiensis (Batch)
1767207025,0.849585155,1000000,3.75,0.071471304,0.630040297,B. thuringiensis (Batch)
1609395071,0.887187148,1000000,3.75,0.065519466,0.663283863,B. thuringiensis (Batch)
1751624867,0.768549461,1000000,3.75,0.02754896,0.708816023,B. thuringiensis (Batch)
1908112193,0.83284615,1000000,3.75,0.049237919,0.597879197,B. thuringiensis (Batch)
1834574934,0.829533445,1000000,3.75,0.040076068,0.625462502,B. thuringiensis (Batch)
1900430343,0.851880045,1000000,3.75,0.070725334,0.584381973,B. thuringiensis (Batch)
1677845993,0.834374555,1000000,3.75,0.081121814,0.674394046,B. thuringiensis (Batch)
1800025559,0.865415,1000000,3.75,0.098642974,0.603951705,B. thuringiensis (Batch)
1859573412,0.797662745,1000000,3.75,0.085835422,0.635895018,B. thuringiensis (Batch)
1624019905,0.927346482,1000000,3.75,0.059791882,0.62956223,B. thuringiensis (Batch)
1853873234,0.847368144,1000000,3.75,0.044248325,0.605423905,B. thuringiensis (Batch)
1624878282,0.759459411,1000000,3.75,0.124040178,0.758516179,B. thuringiensis (Batch)
1583375224,0.837832593,1000000,3.75,0.080609918,0.711754386,B. thuringiensis (Batch)
1733421737,0.839192153,1000000,3.75,0.091641933,0.647661785,B. thuringiensis (Batch)
1609205799,0.875131387,1000000,3.75,0.098925849,0.668029811,B. thuringiensis (Batch)
1797636391,0.753860042,1000000,3.75,0.084159371,0.696259113,B. thuringiensis (Batch)
1745945596,0.834582358,1000000,3.75,0.076245396,0.648559012,B. thuringiensis (Batch)
1810939388,0.832643201,1000000,3.75,0.054612463,0.629442491,B. thuringiensis (Batch)
1631305325,0.711947646,1000000,3.75,0.092534887,0.811060094,B. thuringiensis (Batch)
1700272661,0.81147516,1000000,3.75,0.051260266,0.68835756,B. thuringiensis (Batch)
1811790755,0.724483276,1000000,3.75,0.098704244,0.716743178,B. thuringiensis (Batch)
1639346254,0.82920791,1000000,3.75,0.095741695,0.692505926,B. thuringiensis (Batch)
1714603917,0.870322886,1000000,3.75,0.073270285,0.633669458,B. thuringiensis (Batch)
1732813380,0.8669267,1000000,3.75,0.055828794,0.631654856,B. thuringiensis (Batch)
1651688606,0.83204609,1000000,3.75,0.073673552,0.688012815,B. thuringiensis (Batch)
1811047571,0.929643224,1000000,3.75,0.0428756,0.56504584,B. thuringiensis (Batch)
1761271069,0.7169788,1000000,3.75,0.055249904,0.75150422,B. thuringiensis (Batch)
1877567686,0.842402656,1000000,3.75,0.099248819,0.594753852,B. thuringiensis (Batch)
1742658528,0.779529835,1000000,3.75,0.054062098,0.698749213,B. thuringiensis (Batch)
1853513241,0.888247814,1000000,3.75,0.080168516,0.573561072,B. thuringiensis (Batch)
1910343987,0.902820128,1000000,3.75,0.098199743,0.54554559,B. thuringiensis (Batch)
1814235068,0.84458399,1000000,3.75,0.037132048,0.621566073,B. thuringiensis (Batch)
1520812430,0.838609849,1000000,3.75,0.082913607,0.740007129,B. thuringiensis (Batch)
1885330619,0.831078108,1000000,3.75,0.093250555,0.601097324,B. thuringiensis (Batch)
1865916304,0.765978868,1000000,3.75,0.08266774,0.66036476,B. thuringiensis (Batch)
1517071650,0.799743291,1000000,3.75,0.016207901,0.788245354,B. thuringiensis (Batch)
1928762795,0.733862853,1000000,3.75,0.070981151,0.668361393,B. thuringiensis (Batch)
1715315349,0.80606347,1000000,3.75,0.058822385,0.685871109,B. thuringiensis (Batch)
1881209136,0.840173027,1000000,3.75,0.065802524,0.599165865,B. thuringiensis (Batch)
1766683334,0.872218642,1000000,3.75,0.070614604,0.613977864,B. thuringiensis (Batch)
1761063973,0.800720993,1000000,3.75,0.088834044,0.66850004,B. thuringiensis (Batch)
1945590573,0.855910208,1000000,3.75,0.059849616,0.569360584,B. thuringiensis (Batch)
1801333721,0.831477975,1000000,3.75,0.096702692,0.62838981,B. thuringiensis (Batch)
1708363713,0.847829947,1000000,3.75,0.094421722,0.650104663,B. thuringiensis (Batch)
1624043599,0.854993355,1000000,3.75,0.083733373,0.679579071,B. thuringiensis (Batch)
1691199691,0.831155644,1000000,3.75,0.008340881,0.681418022,B. thuringiensis (Batch)
1853045595,0.806893928,1000000,3.75,0.044445617,0.636051382,B. thuringiensis (Batch)
1835554391,0.842090375,1000000,3.75,0.110224044,0.607254417,B. thuringiensis (Batch)
1796753812,0.816744493,1000000,3.75,0.035743277,0.649184649,B. thuringiensis (Batch)
1701141626,0.918351225,1000000,3.75,0.072669135,0.605354449,B. thuringiensis (Batch)
1894362376,0.842086521,1000000,3.75,0.026930991,0.598245826,B. thuringiensis (Batch)
1686497420,0.828614026,1000000,3.75,0.079787989,0.675778742,B. thuringiensis (Batch)
1687514500,0.784291424,1000000,3.75,0.03252208,0.720268967,B. thuringiensis (Batch)
1715512760,0.848957819,1000000,3.75,0.052715051,0.651932207,B. thuringiensis (Batch)
1588920027,0.818740025,1000000,3.75,0.095889818,0.723596877,B. thuringiensis (Batch)
1877381078,0.844716781,1000000,3.75,0.107749332,0.592173296,B. thuringiensis (Batch)
1727659298,0.882550377,1000000,3.75,0.036221682,0.624747206,B. thuringiensis (Batch)
1942731467,0.855965445,1000000,3.75,0.049772607,0.571303735,B. thuringiensis (Batch)
1859514809,0.763488149,1000000,3.75,0.095100947,0.663149409,B. thuringiensis (Batch)
1952265534,0.763864338,1000000,3.75,0.038189538,0.638524692,B. thuringiensis (Batch)
1747973780,0.763926066,1000000,3.75,0.055788117,0.710609938,B. thuringiensis (Batch)
1824735513,0.834621935,1000000,3.75,0.11447952,0.615794355,B. thuringiensis (Batch)
1674075818,0.874508619,1000000,3.75,0.034019748,0.65095634,B. thuringiensis (Batch)
1653875621,0.840817662,1000000,3.75,0.093682522,0.677223386,B. thuringiensis (Batch)
1848759672,0.828928159,1000000,3.75,0.091845796,0.614750461,B. thuringiensis (Batch)
1797340959,0.851899671,1000000,3.75,0.092990135,0.615145521,B. thuringiensis (Batch)
1781090206,0.859442727,1000000,3.75,0.102597661,0.614127117,B. thuringiensis (Batch)
