Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
0,6363,2994.5,3385.5,4091,3729,4413.5,4495,4536,4496,5073,4652,3749.5,4411.5,3578.5,4202.5,3835.5,3651,4001.5,4253.5,4721.5,4150,4775,3950,3816,3354.5,6670,6239,6979.5,,5744,5846.5,5155.5,4789,5842.5,5163.5,4386.5,4822,4211,4602.5,5056.5,5718.5,6098,6164,4734.5,5871.5,5727,6249.5,4871,4063,7371.5,8043.5,9585,9031.5,7932,6820,6637,6447.5,6028.5,8228,6776,7920.5,8061,10195.5,9398,8389,7219.5,6322.5,8967,4039,4067,3533.5,3875,4472,3973.5,3880.5,4312.5,4623,3816.5,3948.5,3964,4565.5,4029.5,3961.5,4235,3754.5,4590,4045,3921.5,8923.5,4861.5,7258,7351,7393.5
0.17,4867,3148.5,3690.5,3652,3616.5,3964.5,3435.5,4162.5,4035.5,4166,4135,3756,4159,3428.5,4237.5,4665.5,3898,4133,3950,4189,4425.5,4125.5,3643.5,4272,4526,6014.5,4881.5,5961,,4760.5,4338.5,4792,4884,6282.5,4746.5,4894,4752.5,4215.5,4412,5233,5463,4512,5048.5,5037.5,5020,5554,5568,5110.5,4174,9305,8387,7281.5,7146.5,6783,5904,5019.5,5608,5009.5,8497,6776,7214.5,6763.5,8918.5,7432.5,6780.5,6595.5,5816,7425,3647,3337,3742,4133,3252,3531.5,3330.5,3673,3784.5,3505,3723,3718.5,3669.5,3695,3558,3518,3276.5,4186.5,3897.5,3683.5,4886.5,4378.5,4908,4476.5,5109
0.33,4945.5,3299,3679,4556.5,3801,4702,3817.5,5284,4796.5,4994,5115,3987,4464.5,3696,4529,4736,4414,4671.5,4319,5038,4471.5,3624,3879.5,4604,4704,7349,6431,7382,,4735,4738,6142,6293.5,8343.5,5392,5550,5435.5,4639,5292.5,6101.5,6841,5938.5,4888.5,5419,5610.5,7429,7022.5,5912,4116,9006,7462,6853,7176.5,7532,5883.5,5498,5588,4991.5,8285,7111,6525,5988,7797.5,7001,5789.5,6949.5,5888.5,6889.5,3916,3684.5,3784,4062.5,3519,3648.5,3480.5,3942,4124,3590,3582,4095.5,3737,3894.5,3865,3575,3318,4149,4006,3749,6106.5,4306,5780,4770,6028.5
0.5,6141.5,3262.5,3794.5,4887,4014,5225.5,4450,5638,5347,5233.5,5728,4618,5105,3633,4312.5,4195,4614,4676,4482,5196.5,4608.5,3856.5,3944.5,4876.5,4410,9221.5,8830,9646.5,,4749.5,4690,7081,8699.5,11557.5,5979.5,6749,6287,5532.5,6162,6777.5,7757,7218.5,5573.5,6123.5,6861,8289,9588,7258,4098,8770,7236,7230.5,6987,8127,6556,5620,5983.5,5184.5,9323,6770,5548.5,5603.5,7275.5,6136,5101.5,7127,5929,7790.5,3911.5,3972.5,4003.5,3806.5,3467,3918,3567.5,4263.5,4143.5,3446,4099,4139,4274,3970.5,4093,3554,3493.5,4466.5,3965.5,3896,7175,4171.5,7726.5,5486.5,7401
0.67,7308,3239,3712.5,5375,4012,5619.5,4928.5,5794.5,5311,5317.5,5820.5,4687.5,4863,4057,3761.5,4100,4687.5,4406.5,4438.5,5368,4851.5,3501.5,4374.5,5370,4789,11128,9927.5,11412,,5100,4736,7642,10260.5,13400.5,7141,8104,7202,5917,7326.5,7452,8823,8695.5,5384,6793,8316,9393,11330,8091.5,4202,9528.5,6661.5,7790.5,7132,8348,6012,5747,6479.5,5193,10111,6955.5,5310,5159.5,6745.5,6086.5,4934,7000,5860,7179,4174.5,3924.5,4186,4137.5,3504,4342.5,3593,4236.5,4418,3551.5,4245.5,4521,4531,4073.5,4021.5,3634,3617.5,4586.5,3842.5,3853.5,8760.5,4206.5,8821.5,5968.5,8186.5
0.83,8393.5,3247.5,3869.5,5942,4208,5776.5,4853,5571,6492,5752,6085.5,5125.5,5025.5,4330,3749.5,3929.5,5113,4574.5,4944,5221.5,5083.5,3546,4350.5,5856.5,4308,11631.5,10433.5,12534.5,,4904,5067,7891.5,11096,14893,7286.5,8427,7471,6732.5,7247.5,7680.5,9888.5,10705.5,5467.5,6604,8770,10290,14410.5,8871,4269.5,8493.5,7043.5,7817,6754,8557,7011.5,6097.5,6101.5,5303.5,11210,6419,5217.5,4757,6642,5715,4800.5,6653.5,5864.5,7349.5,4200.5,3916.5,4032.5,3900.5,3604,4819.5,3726,4680,4843.5,3665,4592,4596.5,4630,4341,4207.5,3736.5,3698,4737,3907.5,4094.5,9073,4392,10181,6531.5,8902.5
1,8965,3398,3897.5,5904.5,4370,5608,5208,5493.5,6646.5,6120,6160,5621.5,5682.5,4514.5,3730,4144,5169,4956.5,4855,5294.5,5646.5,3517,4533,5973.5,4763.5,12021,11599,12947,,4821,4902.5,8851.5,11143,14746.5,7401.5,8137,7908,7259,8030,7270,10130,10591.5,5632.5,6606,9274,10512,15088,8682.5,4372,8503.5,6906.5,8032,6736.5,8425.5,6692.5,5906,5890.5,5348.5,11188,6120,5103.5,4602,6113,5522,4942.5,6541,5808,7172.5,4476,4269,4273.5,3884,3674.5,5255,3907.5,4745.5,4915.5,3696,4569.5,4504.5,4546.5,4210.5,4166,3902.5,3696.5,4735,3928,3803.5,9731,4286,11224,7383,8997.5
1.17,9222.5,3324,4089,5868,4248.5,6090,5140.5,5675.5,6128,6280,6505.5,5350.5,5581,4724,3746.5,4100.5,5022.5,5025.5,5087,5393,5946.5,3724.5,4853.5,6193.5,4764,12590,11558,12983,,4904.5,5052,7731.5,10980,15176,7440.5,9040.5,7712.5,6972.5,8176,7872,10859,10395.5,5381.5,6386,8737,11042.5,15535,9169.5,4368,7925.5,6403.5,7325.5,6306.5,7945,6692,5206,6103.5,5002.5,11761,5951,5031,4717,6164.5,5501,4884.5,6144,5711.5,7340.5,4214.5,4231,4182.5,3997.5,3872,5688.5,3926.5,4690,5183,3826,5090.5,4491,4515,4085,4360.5,4309,3749,4452,3963,3752.5,8817,4376,11470.5,7405,8736
1.33,9646,3473,4281.5,6129.5,4215,5922,5958,6063,6122,6111,6412.5,5426.5,5685.5,4661,3925,3846.5,5323,5016.5,5022,5786.5,6303.5,3533.5,4853,5976.5,4816.5,12486,11798.5,12449.5,,4815,4922.5,8474,10601,15848.5,7044.5,8718,7545,6641,8539.5,7630,10567,11041,5486.5,6059,8443,10853.5,17477,8872.5,4414.5,7138.5,5964.5,6847,6162.5,6991.5,6387,5593,5240.5,4527,10739,5661,4859,4695,6054,5397.5,5031.5,5773.5,5555.5,6310,4318.5,4245.5,4276,4098,3897,5963,4272.5,4719.5,5062,3848,5414.5,4310,4815,4194.5,4493,4656.5,3632.5,4619,4254.5,3798,8804.5,4526.5,12697.5,7730.5,7806
1.5,8741.5,3380.5,4073,5856,4446.5,6041,5906.5,6003.5,6333.5,5899.5,5907.5,5796,5396.5,4745,3835.5,3774.5,5293,4798.5,5188.5,5939.5,6234.5,3628,4835.5,6013,4666,12939.5,12272,11994,,4638.5,4905.5,8233.5,10040.5,15339,6881.5,9019,8158,5923.5,8547.5,7220.5,10075,11095,5092.5,6225,8397,10891,17469,8511.5,4538,6426.5,5652,6611.5,5743.5,6960.5,6092.5,4878,5321,4778,11321.5,5659.5,4658,4562,6017.5,5306.5,4857.5,5353,5342.5,6218,4208.5,4236.5,4094.5,4050,3924,6172.5,3881.5,4680.5,4883.5,3969.5,6219.5,4356.5,4757.5,4063,4253,4794.5,3826,4780,3975,3786.5,8354.5,4434,12352.5,8016.5,7740
