Hour,S.tenebrarius,S.coelicolor,CR101A,CC213A,CC224C,CC224E,CC201C,CC227G,KL110A,CC219C,CC302I,KL122B,CC226D,CC302R,CC210B,CC213B,CC213C,MZ102A,MZ103B,MZ103C,HL101P,CC208A,CC219A
0.00,4142.5,3783,4190.5,4251,4331.5,4854.5,4319,3746.5,4066,4647.5,5066.5,4223,4927,5434,4753,4579,5398.5,3978.5,4445,6433.5,4690.5,4535.5,3725.5
0.17,3693.5,3114,2954,3105,3252,3461.5,3211.5,3336,3393,7092,3600,3279.5,3547.5,3766,4192,3299.5,3591,3515,5924,3599,3385,3314.5,2938.5
0.33,3303,2986,2864,2972,2941,2735.5,2867.5,2988,2859.5,8424,2923,2699.5,3507,3476,3371,3003,3280.5,3322,7042,3343.5,2850,3043,2818
0.50,3717,2987.5,3011.5,2887,2824,3025,3290.5,3028.5,2965.5,8397,2996,2778,3223.5,3498.5,3150.5,2949,3612,3447.5,7672.5,3723.5,2913,2824.5,2802.5
0.67,3966,2999,3238.5,3224,2867,3102,3467.5,2981.5,3320,7800,3438.5,2971,3456.5,3851,3300,3149.5,3872.5,3619.5,7880,4009.5,2992.5,2931,2918
0.83,4169.5,3160,3378.5,2934,2975,3124.5,3715.5,3258,3361,6614.5,3582.5,2957.5,3614,3952.5,2987,3158,3893,3930.5,7748,4034,2997,3170.5,3305
1.00,4261.5,3191,3998.5,3330.5,2833,3193.5,4135.5,3421.5,3230,5914.5,3735.5,2993.5,3903,4116,3159,3233,3861,3652,7318.5,3935,2927,3297.5,3545.5
1.17,4861.5,3061,4768,3423.5,3071.5,3365.5,4014.5,3769,4050.5,5698,4113,3400.5,4122.5,4161.5,3236.5,3415.5,4522.5,3819.5,7172,4183.5,2936.5,3660,4071.5
1.33,4901.5,3258.5,5753.5,3585,3113,3544,4209,3962,4409.5,5306,4432.5,3371,4240,3994.5,3068,3516.5,4811.5,3895,6287,4398.5,3151,4224,4375
1.50,5453,3289.5,6505,4127.5,3155.5,3482.5,3987.5,4316,5007.5,5411.5,4671.5,3379.5,4148.5,3911,3289,3672,5051,3672.5,6169,4396.5,3049,4592.5,5018.5
1.67,5439.5,3243,6959,4351,3172.5,4123.5,4048,4588,5249.5,5320,5099.5,3409.5,4477.5,3840.5,3366.5,3839.5,5199,3813.5,5674,4509,3153,4906,5632.5
1.83,5767,3173,7535.5,4558,3217.5,3999.5,4144.5,4576.5,5626.5,4763.5,5433,3509,4200,3832,3270.5,3722,5647,3876,5541.5,4840.5,3073.5,5143.5,6334
2.00,5970,3133.5,7972,4907,3277.5,4094,3973.5,4748.5,5177,4829,5630,3473.5,4952.5,3752.5,3300,4322.5,5857.5,3577,5345.5,4981,3184,5258,6751.5
2.17,5889.5,3347,7728,5051.5,3359.5,4441.5,4127.5,4751.5,5930,4931,7090.5,3340,4646,3740.5,3392.5,4163.5,6062,3533,5344.5,5093,3155,5479.5,7154.5
2.33,6233,3268.5,7284,4770,3471.5,4261,4111,4959.5,5920,4879,6755,3628,4728,3676,3426.5,4300,6069.5,3429,5391.5,5091,3309,5286,7544
2.50,6436,3358,7386.5,5214.5,3376,4910,4214.5,5031,6049,4894.5,7643.5,3689.5,4923.5,3934.5,3346.5,4553,6746.5,3610,5176,4821.5,3363.5,5163,7896.5
2.67,6918.5,3382.5,6743,5632.5,3423.5,4859.5,4239,5190,6193.5,4871.5,8106,3349,5300,3616,3465,4763.5,6832.5,3484.5,4980,4801.5,3405.5,5439.5,8076.5
2.83,7356.5,3262,6628.5,5577,3588,5119.5,4290,5516,6437,5065.5,8247.5,3674,5554,3689,3473.5,4913.5,7444,3298.5,4851.5,4954,3449,5635,8562.5
3.00,7899,3312.5,6831.5,6261,3549.5,5112.5,4144,5344,6541.5,5023,8171,3476,6457.5,3772,3414.5,4947.5,7465,3437.5,4868,5300.5,3455.5,5486.5,9068.5
3.17,8121,3406.5,6628,6281,3973.5,5365.5,4249.5,4962,6398,4837,8629.5,3699.5,6577,3578.5,3259,5800.5,7787.5,3309,4941,5231.5,3658,5347.5,8668.5
3.33,8072.5,3220.5,6863.5,6498.5,4018,5827,3964,5186,6424,5228.5,9248.5,3512,6974.5,3923,3552,5984.5,7461,3426,4877.5,5394,3511.5,5412,9567.5
3.50,8891.5,3465,6459,6845,3956.5,5912,4000.5,5574.5,6180.5,4924,8684.5,3503.5,8049.5,3587,3286.5,5923,8676,3359.5,4831.5,5624,3466,5792.5,9292.5
3.67,8856.5,3469,6162,6638,4135.5,5906,3800.5,5600.5,5911,5045,8635.5,3484,8442,3798,3310.5,6424,9363.5,3262.5,5269.5,5839.5,3601.5,5696.5,9814.5
3.83,8483.5,3404.5,6274,6258.5,4209.5,6635,3755,5443.5,6067,4804,8042.5,3416,8739.5,3821.5,3186,7311.5,9447,3402.5,5102.5,6312.5,3637,5255.5,10265
4.00,9008.5,3532.5,6478,6992,4222.5,6603,3778.5,5362,5980.5,4986,8655.5,3546.5,9964,3743.5,3401.5,7182,10285.5,3297,4948.5,7203,3633,5099,9756.5
4.17,9732,3342,5939.5,6666,4624.5,6545,3525,5332,6208,4548,8136.5,3485,11008.5,3843,3247,7831,10315.5,3348,4786,7122,3741.5,4892,10203
4.33,9332,3505,5680.5,7072,4431.5,6774.5,3726,5101.5,5498.5,4519.5,7692.5,3582,12487,3615,3373.5,8254.5,11107,3179.5,4587,7334,3528.5,5064.5,10533.5
4.50,9879,3388,5573,6708.5,4921,6862.5,3473,5108.5,5816,4612,7382.5,3470,12800.5,3694,3218,8920.5,12164.5,3162.5,4551,7588,3531,4833.5,9505.5
4.67,9959.5,3380.5,5825,7259,4819,7819,3504.5,5104,5656,4546.5,7698,3369,13613,3645.5,3288,9364,12230.5,3237.5,4699.5,7779,3451.5,5141.5,10105
4.83,10858.5,3301.5,5616.5,6766,5003,7557.5,3491.5,5299,5530.5,4553.5,6938.5,3506.5,15278.5,3644,3392.5,10365,13359,3184.5,4325,8351.5,3504,4917.5,10433.5
5.00,10608,3584,5605.5,7371,4920.5,7755,3477,4832.5,5482,4149,7696.5,3499,15289.5,3696.5,3275.5,11050.5,13564,3270.5,4778,7517.5,3564.5,5146,10750.5
5.17,10946,3381,5690,7569,5282.5,7755.5,3356,5181,5558,4287,7178.5,3503,17726.5,3869,3276.5,10885,14777,3273,4398,8677.5,3500.5,5159,10961.5
5.33,10875.5,3460,5501,8279.5,5292,8076.5,3499,5166.5,5444.5,4152,7198.5,3443,18843.5,3834.5,3178.5,11852,14679,3311.5,4429.5,8675.5,3532,5038,10922
5.50,10853,3214.5,5248,8248,5268.5,8945,3408,5027,5195,4034,6982.5,3446,20029,3741.5,3283,12530,15023.5,3211,4293.5,8926.5,3494,4615.5,11429.5
5.67,11845.5,3331,5612.5,6740.5,5588.5,8924.5,3337,5135.5,5704.5,3883.5,6794,3492,20969.5,3759,3253.5,13724.5,16094,3231,4096,8880,3604.5,5106,11985.5
