Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I ,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C-67,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
0.00,5073,3509.5,3385.5,4091,3729,4413.5,4495,4536,4496,5073,4652,3749.5,4411.5,3578.5,4202.5,3835.5,3651,4001.5,4253.5,4721.5,4150,4775,7375.5,10091.5,3354.5,4526,3111.5,3318.5,3458,2953.5,2964,2939.5,3585.5,3509.5,3323.5,3159,3182,2945.5,2997.5,3567,3218,2918,2829.5,3378.5,3027.5,3045,2781.5,3256.5,5415,7371.5,8043.5,9585,9031.5,7932,6820,6637,6447.5,6028.5,5433,6776,7920.5,8061,10195.5,9398,8389,7219.5,6322.5,3634,4039,4067,3533.5,8595.5,4472,3973.5,3880.5,4312.5,4623,3816.5,3948.5,3964,4565.5,4029.5,3961.5,4235,3754.5,7683,4045,3921.5,8923.5,4861.5,7258,7351,7393.5
0.17,4705,3559,3690.5,3652,3616.5,3964.5,3435.5,4162.5,4035.5,4166,4135,3756,4159,3428.5,4237.5,4665.5,3898,4133,3950,4189,4425.5,4125.5,4498.5,5980,4526,5513,2816.5,3079.5,3052,3290.5,3281.5,2821.5,3254,3421,2980,3192,2866,2755.5,2742.5,2998.5,2968,2979,2921.5,2928.5,2868.5,2822,2719,3135.5,6920,9305,8387,7281.5,7146.5,6783,5904,5019.5,5608,5009.5,6270,6776,7214.5,6763.5,8918.5,7432.5,6780.5,6595.5,5816,3713,3647,3337,3742,5289,3252,3531.5,3330.5,3673,3784.5,3505,3723,3718.5,3669.5,3695,3558,3518,3276.5,5030,3897.5,3683.5,4886.5,4378.5,4908,4476.5,5109
0.33,5861,3500,3679,4556.5,3801,4702,3817.5,5284,4796.5,4994,5115,3987,4464.5,3696,4529,4736,4414,4671.5,4319,5038,4471.5,3624,4945,5997,4704,4495,2761,3381.5,2899,3176,2743,2769,2976.5,3338,3161,3222.5,2999.5,2790.5,2862.5,3109.5,2920,3009,3141.5,2794.5,2971.5,2808.5,2914.5,3196,8949,9006,7462,6853,7176.5,7532,5883.5,5498,5588,4991.5,8110.5,7111,6525,5988,7797.5,7001,5789.5,6949.5,5888.5,3651.5,3916,3684.5,3784,5269,3519,3648.5,3480.5,3942,4124,3590,3582,4095.5,3737,3894.5,3865,3575,3318,6149,4006,3749,6106.5,4306,5780,4770,6028.5
0.50,6756,3608.75,3794.5,4887,4014,5225.5,4450,5638,5347,5233.5,5728,4618,5105,3633,4312.5,4195,4614,4676,4482,5196.5,4608.5,3856.5,5058,6247,4410,3993.5,3125,4517,3131,3333.5,3109.5,3003,3002.5,3582,3419,3375.5,3241.5,2952.5,2968,3334,3348,3319.5,3263,3072,3297,3250.5,3273,3185.5,11283,8770,7236,7230.5,6987,8127,6556,5620,5983.5,5184.5,8709,6770,5548.5,5603.5,7275.5,6136,5101.5,7127,5929,3470.5,3911.5,3972.5,4003.5,5454,3467,3918,3567.5,4263.5,4143.5,3446,4099,4139,4274,3970.5,4093,3554,3493.5,6903.5,3965.5,3896,7175,4171.5,7726.5,5486.5,7401
0.67,7058.5,3782,3712.5,5375,4012,5619.5,4928.5,5794.5,5311,5317.5,5820.5,4687.5,4863,4057,3761.5,4100,4687.5,4406.5,4438.5,5368,4851.5,3501.5,5811,6761,4789,4099,3267,5870,3454.5,3523,3408.5,3058,3261,4211,3696.5,3762.5,3573.5,3148.5,3085.5,3481.5,3329.5,3426.5,3544,3142.5,3359.5,3264,3402.5,3443.5,12726,9528.5,6661.5,7790.5,7132,8348,6012,5747,6479.5,5193,9100.5,6955.5,5310,5159.5,6745.5,6086.5,4934,7000,5860,3678.5,4174.5,3924.5,4186,5226,3504,4342.5,3593,4236.5,4418,3551.5,4245.5,4521,4531,4073.5,4021.5,3634,3617.5,7722.5,3842.5,3853.5,8760.5,4206.5,8821.5,5968.5,8186.5
0.83,7027.75,3628.25,3869.5,5942,4208,5776.5,4853,5571,6492,5752,6085.5,5125.5,5025.5,4330,3749.5,3929.5,5113,4574.5,4944,5221.5,5083.5,3546,5846,6950,4308,4019,3386.5,7404,3770.5,3669,3745,3187,3241,4369.5,4048,4283.5,3796,3257,3444,3629.5,3654,3753.5,3881.5,3441.5,3742,3393,3770.5,3343,16017,8493.5,7043.5,7817,6754,8557,7011.5,6097.5,6101.5,5303.5,10153,6419,5217.5,4757,6642,5715,4800.5,6653.5,5864.5,3737.5,4200.5,3916.5,4032.5,5414.5,3604,4819.5,3726,4680,4843.5,3665,4592,4596.5,4630,4341,4207.5,3736.5,3698,7853.5,3907.5,4094.5,9073,4392,10181,6531.5,8902.5
1.00,7907.5,3644.25,3897.5,5904.5,4370,5608,5208,5493.5,6646.5,6120,6160,5621.5,5682.5,4514.5,3730,4144,5169,4956.5,4855,5294.5,5646.5,3517,6332.5,7536.5,4763.5,3966.5,3553,8617,3861,3772.5,3904.5,3323.5,3206,4573,4014,4291.5,3859.5,3303,3581.5,3445,3530.5,3994.5,4160.5,3634.5,4127,3453,3699,3573,19323,8503.5,6906.5,8032,6736.5,8425.5,6692.5,5906,5890.5,5348.5,11124.5,6120,5103.5,4602,6113,5522,4942.5,6541,5808,3711.5,4476,4269,4273.5,5520,3674.5,5255,3907.5,4745.5,4915.5,3696,4569.5,4504.5,4546.5,4210.5,4166,3902.5,3696.5,7491,3928,3803.5,9731,4286,11224,7383,8997.5
1.17,7885,3839.25,4089,5868,4248.5,6090,5140.5,5675.5,6128,6280,6505.5,5350.5,5581,4724,3746.5,4100.5,5022.5,5025.5,5087,5393,5946.5,3724.5,6302.5,7653,4764,3911,3807.5,9849.5,3991,4290.5,3998,3295.5,3223,4430.5,3966.5,4394,3835,3428.5,3590,3791.5,3530,4202.5,4067.5,3795.5,3900,3722.5,3935,3558,20688.5,7925.5,6403.5,7325.5,6306.5,7945,6692,5206,6103.5,5002.5,11917.5,5951,5031,4717,6164.5,5501,4884.5,6144,5711.5,3879,4214.5,4231,4182.5,5823,3872,5688.5,3926.5,4690,5183,3826,5090.5,4491,4515,4085,4360.5,4309,3749,7246.5,3963,3752.5,8817,4376,11470.5,7405,8736
1.33,7818.5,3787.25,4281.5,6129.5,4215,5922,5958,6063,6122,6111,6412.5,5426.5,5685.5,4661,3925,3846.5,5323,5016.5,5022,5786.5,6303.5,3533.5,6650.5,7697.5,4816.5,3724,4132.5,10999.5,4000,4050,3997.5,3372,3270.5,4191.5,3841.5,4812,3923.5,3473,3837.5,3851.5,4075,4420.5,4383,3861,4046,3784.5,3817.5,3762.5,20185,7138.5,5964.5,6847,6162.5,6991.5,6387,5593,5240.5,4527,12592.5,5661,4859,4695,6054,5397.5,5031.5,5773.5,5555.5,3812.5,4318.5,4245.5,4276,5588,3897,5963,4272.5,4719.5,5062,3848,5414.5,4310,4815,4194.5,4493,4656.5,3632.5,7415,4254.5,3798,8804.5,4526.5,12697.5,7730.5,7806
1.50,7733.75,3879,4073,5856,4446.5,6041,5906.5,6003.5,6333.5,5899.5,5907.5,5796,5396.5,4745,3835.5,3774.5,5293,4798.5,5188.5,5939.5,6234.5,3628,6217,8648.5,4666,3860.5,4073,11068.5,3852.5,4057,3941.5,3312.5,3221.5,4086.5,4015.5,4871,3922,3376.5,3605,3712.5,3774.5,4370,4022,3719,4132.5,3826,4078.5,3810,19445,6426.5,5652,6611.5,5743.5,6960.5,6092.5,4878,5321,4778,13884,5659.5,4658,4562,6017.5,5306.5,4857.5,5353,5342.5,3906,4208.5,4236.5,4094.5,5379.5,3924,6172.5,3881.5,4680.5,4883.5,3969.5,6219.5,4356.5,4757.5,4063,4253,4794.5,3826,7009,3975,3786.5,8354.5,4434,12352.5,8016.5,7740
