Hour,S.tenebrarius (C+),S.coelicolor (C-),CC227G,KL110A,CC302R,CC303T,CC302I,KL111A,KL116E,KL122B,CR101A,MZ103A,HL101H,CC201C,CC208A,CC203B,CC210A,CC213A,CC216A,CC219A,CC219B,CC219C,CC224C,CC224E,CC226D,CC227C,CC228A
0.00,4669.5,2994.5,7375.5,9949,11336.5,8171,8065.5,7191,7855,7426.5,9293,8539,8985,8692.5,7831,7838.5,7193,6043,6526.5,6685,5660,7683,5235.5,4861.5,5001,4859,4956
0.17,5023.5,3148.5,4498.5,5910.5,6258,4673.5,5148.5,4238.5,10106,4708,11110.5,10309,5811.5,5685,4265.5,4975,5409,4378.5,4712.5,4632.5,4632,5030,4677,4378.5,4205,4373,4426.5
0.33,6793,3299,4945,7542,8250,5240.5,5925,4650.5,15482.5,5272.5,16771.5,13183,7337.5,8128.5,4957,5771.5,6771,4469,5691.5,4705,5217,6149,4448,4306,4214.5,4139.5,4408.5
0.50,7840.5,3262.5,5058,9440,9681,5423,6650,4545.5,22259.5,5506.5,24749.5,14180,7564.5,9654,5263,6364.5,7968.5,4775,6216,4588.5,5962.5,6903.5,4396,4171.5,4235,4185.5,4405.5
0.67,8519,3239,5811,11028,11341,6180,6829.5,4989,28195,5457,31969.5,13606,9207.5,11602.5,5637,7777.5,9055,5176,7469.5,4819.5,6177.5,7722.5,4460,4206.5,4388,4327.5,4308
0.83,8381,3247.5,5846,11641.5,12584,6285,7289.5,5029,31118,5704,35602.5,12966.5,9514,11944,5952.5,8087.5,9703.5,6106,7556.5,5119.5,6346.5,7853.5,4413,4392,4296,4217,4374
1.00,9516,3398,6332.5,12176,11839.5,6585,7676,5379.5,29455.5,5632.5,37165,11594,10508.5,12925,5805,8758,10164.5,8135,8036,5242.5,6999.5,7491,4684,4286,4202,4537,4474.5
1.17,9157.5,3324,6302.5,13501,12779.5,6195,8665,5519,25887,5608.5,37946.5,10867.5,11233.5,12105,6391,8491,9951.5,11664.5,7973,5147,7022,7246.5,4780,4376,4315,4419,4508.5
1.33,8685.5,3473,6650.5,14233,12314,6127.5,8886,5537,21430.5,5233.5,37842,10800.5,11367.5,12537.5,6130,8241.5,9279.5,16350,7941.5,5169.5,7327,7415,4891,4526.5,4601.5,4627.5,4355.5
1.50,8141,3380.5,6217,13967.5,12502.5,6244.5,8285,5956.5,18272,5384,35997.5,10771.5,11349.5,12343.5,6437.5,8015,9167.5,18367,7220.5,5044.5,7280.5,7009,4948,4434,4527,4686.5,4532
1.67,8471,3586,6214,14137.5,12510,6025,8374.5,5861.5,16040.5,5262.5,32993.5,10427.5,10853,11604.5,6218,7354.5,9194,20479.5,7199.5,4986,6972,6749,5079.5,4580,4496.5,4795,4693.5
1.83,7957,3355.5,6216.5,14026,11931,5737.5,7967,5815.5,14664,5282,30863.5,9973.5,12181,11414.5,6373.5,7304.5,8651,22099,6642,5214.5,6556.5,6684.5,4983.5,4826,4630,4684.5,4539.5
2.00,8055,3505,6323.5,14341,12115.5,5618.5,8140,6107.5,13204,5042.5,28921,9404,11025,11652,6763.5,7039.5,8498,22891.5,6703,5393.5,6460,6298,5233.5,4796.5,4615.5,5092,4571.5
2.17,7987.5,3475,6077.5,13217.5,11856.5,5815.5,7951.5,5973,12344.5,4968.5,26597,9270,11357.5,11267.5,6440.5,6647.5,8294.5,22689,5938,5303,6218,6270,5678,5021.5,4759.5,5082.5,4603.5
2.33,7860.5,3501.5,6619.5,12983.5,11627.5,5846.5,7733.5,5939.5,11536.5,4890,25106,9465,11287.5,11271,6717.5,6059,8293,22915,6174.5,5531.5,6008.5,5743.5,5532,5164.5,4956.5,5068.5,4665
2.50,8412,3447.5,6636.5,13115,11171.5,6000,7474.5,5681.5,10659.5,4813,22028,8945,11596.5,11273.5,6588.5,6190,7873,23137,5576,5412.5,5922.5,6051.5,5848,4960,5083,5072.5,4739
2.67,8509.5,3432,6615,13317,11390.5,5814.5,7260,5965.5,10582,5045.5,20725.5,8982,11419,11853.5,6756.5,5593,7993,23368.5,6021.5,5595,5822.5,5715,5613,5252,5326,4961.5,4765.5
2.83,8473.5,3432,6909,13648,10597,5609.5,7378,6024,10109.5,5064.5,19541.5,9003.5,11482.5,12069,6817,5101.5,7816,21418,5674.5,5552.5,5830,5469.5,5818.5,5418,5240.5,5386,4712.5
3.00,8080,3526.5,6572.5,12783,10482.5,6034.5,7302,6533.5,9899,4900,18912,8199,10980,12015,6378.5,5450,8299,20092,5581,5628,5303,5584,6370.5,5376.5,5461.5,4957.5,4819.5
3.17,8676.5,3506.5,6930.5,13411.5,10372.5,5661,7482.5,6215,9363.5,4838.5,19071,8394.5,10372,11951.5,6572,5199.5,7882.5,19857,5724,5692,5274,5547,6744.5,5577.5,5757.5,5161,5017
3.33,8834.5,3492.5,7106,13883.5,10372,5948.5,7507.5,6138.5,9427.5,4998,17282.5,8968.5,10269,12791,6538,5194.5,7610.5,19606,5768.5,5995,5384,5394,6491.5,5677,5936.5,5356,4750.5
3.50,8827.5,3480.5,6911.5,13615.5,10586.5,5872.5,7275,6045,9233.5,5061.5,16779,8059.5,10880.5,12019,6544,4937.5,7533.5,18145,5638.5,6242,5475.5,5512,6995.5,5914,6379.5,5258.5,4814
3.67,9130.5,3566.5,7116.5,13989,10912,6080.5,8065.5,6078.5,8724,4822.5,16128,7906.5,10430,13039.5,7273,4855,7126.5,17087.5,5486.5,5835,5233,5272.5,6880,5801.5,6383,5178.5,4819.5
3.83,9389.5,3549,7505.5,14812,10325,6096.5,7669,6319.5,8962,5083,16403,8315.5,10383.5,12736.5,7001,4685.5,7199.5,16049.5,5747,5681,5407.5,5349,7105,6061,6827,5180,4778
4.00,9364,3632.5,7255,14612.5,10599.5,6017,7594,6710.5,7794.5,4816.5,14945,7980,11053.5,13902.5,6716,4648.5,7530,15075,5570.5,6092.5,5345,5355,7775,6114.5,7562.5,5000.5,4745.5
