Hour,CC201C,CC213A,CR101A,CC224C,CC227G,KL110A,CC219C,CC302I,KL122B,CC213B,CC213C,MZ103B,MZ103C,CC208A,CC219A
0,4817,4658,4622.5,4375,4757.5,4576.5,4456.5,4008.5,4282.5,3889,4466,4584.5,3088.5,3020,2989
0.166666667,4440,4453.5,3631,4483,4494.5,4162.5,4871.5,4754,4494.5,4480,5026.5,8232,3129.5,3146.5,3102.5
0.333333333,3681.5,3957.5,3540.5,4290,4221.5,3972,7053,4327,3952.5,4261.5,4074.5,7824,3350.5,3360,3273
0.5,3831.5,3823,3608.5,4324,5005.5,3893.5,7578.5,4154.5,3678.5,4191,3954,7783.5,3371.5,3354.5,3345.5
0.666666667,3687,3791.5,3699.5,4255.5,7812.5,4027,7253.5,3817.5,3730.5,3901,3797,7099,3578.5,3476.5,3512
0.833333333,3721.5,3641,4457.5,4356.5,9375.5,3828,7334,3833,3547.5,3830.5,3927,6694.5,3624,3789.5,3562
1,4067,3789,5887,4157.5,10673,4113,7492.5,3907,3658.5,3815,3897,6625,3622,3539,3559
1.166666667,4083.5,3909,7573,4262.5,10823.5,3968.5,7478.5,3967.5,3674,3922.5,3964.5,6575,3630.5,3560.5,3720.5
1.333333333,4117,3910.5,8591.5,4500,10581,3928.5,7386.5,4126,3771,3936.5,3914.5,6883,3667,3661.5,3492.5
1.5,4088.5,3836,8807.5,4229.5,10318.5,4103.5,7166.5,4154,3659,3781.5,3838.5,6321,3729,3647,3799
1.666666667,4311,3970,9634.5,4178.5,11013,3943.5,7704,4382,3723.5,3880,3950,6985.5,3753,3653.5,3642.5
1.833333333,4332,3906,9112.5,4053.5,10008.5,3973,7059,4475.5,3858.5,3878.5,4054,6434,3799.5,3666.5,3758.5
2,4663.5,4062,9406.5,4144,10372,4094.5,7176,4666,3754,3965,4104.5,6689,3838,3717,3784
2.166666667,4685.5,3963.5,9583,4039.5,10689,3994,7082,5041.5,3728.5,3948.5,4160,6089.5,3762.5,3811.5,3785.5
2.333333333,4612,4146,9874.5,4091,9289,3926,6757.5,5263,3771,3894.5,4105,6618.5,3931,3792,3771
2.5,4616.5,4138.5,9454,4230,9634.5,3897,6546,5364,3795,3908,4123.5,6588,3864.5,3790,3694.5
2.666666667,4940,4001.5,8896.5,4018.5,9280.5,4024,6622.5,5814.5,3728.5,3854.5,4137.5,6636,3741.5,3780.5,3878
2.833333333,4977.5,4068.5,9365.5,4146,9467.5,3878,6595.5,5782.5,3831,3984.5,4042,6213.5,3836.5,3746,3794.5
3,5284.5,4146.5,8804.5,4084,9104.5,3881.5,6300.5,5994.5,3743,4010.5,4131.5,5858,3908,3737.5,3773.5
3.166666667,5276,4271.5,8639.5,4134,8902,3881.5,6374.5,6163,3791,3974,4177.5,6088.5,3931.5,3845,3928
3.333333333,5121,4224.5,8803,4034.5,8504,3989,6094.5,5896,3972.5,4018,4321,5926,3910.5,3758,3818.5
3.5,5608.5,4238,8729,4055,8262.5,4080,6214,6292,3922.5,4031,4294.5,6010.5,3849,3844.5,3929
3.666666667,5326.5,4090,7941.5,4185.5,8525.5,3963,6031,6172.5,3951,3882.5,4390.5,5916.5,4015,3775.5,3861
3.833333333,5661.5,4074,8437.5,4066,8257.5,3878,5907,6487,3838.5,3888.5,4320.5,6075.5,3808,3878,3855
4,5379.5,4226.5,8270,4064,7883.5,3956.5,5660,6215,3862.5,4087,4416,5812.5,3818,3818,3858.5
4.166666667,5638.5,4337.5,7997,4046.5,7706.5,3879.5,5960,6603,3861.5,4035,4365.5,5973.5,3942.5,3845.5,3820
4.333333333,5266,4339,7664.5,4289,8039.5,3953.5,6019,6767.5,4041,4005,4314.5,5898.5,3875.5,3837,3812.5
4.5,5596.5,4365.5,8002,4218,7423,3861,5610.5,6915.5,3771.5,4181.5,4269.5,6052.5,3907.5,3780.5,3789
4.666666667,5153.5,4493.5,8388.5,4087,7209.5,3877.5,5553,6832.5,3929.5,4075,4461.5,5824,3905,3899,3867.5
4.833333333,5621.5,4292.5,7732,4319,7352.5,4017.5,5410.5,6688,3806.5,4088.5,4353,5725,3864,3778,3834
5,5356.5,4536.5,8297.5,4277.5,7348,3875.5,5880,6932,3924,4067.5,4550,5971,3900.5,3777.5,4039.5
5.166666667,5205.5,4301.5,7759.5,4297.5,7204,3947.5,5497.5,7142,3864,3926.5,4553,5920,3899,4016,3926.5
5.333333333,5439,4665.5,7435,4362,7042.5,3866.5,5376,7096,3897,4127,4839,5943.5,4024.5,3985.5,3950
5.5,5718.5,4501,7779.5,4262.5,6789.5,4025.5,5855.5,7227.5,3936.5,4200,4650,5765.5,4000.5,4014,3965
5.666666667,5324,4500,7327.5,4457.5,6764,3976.5,5561,7571.5,4001,4174,4686.5,5965,3994.5,3958.5,3925.5
5.833333333,5428.5,4518,7799,4394,6841.5,3964,5347.5,8061,4018,4152.5,4643.5,6026.5,3873,3886,4060.5
6,5692.5,4631.5,7512.5,4251.5,6880.5,3990,5326.5,8199.5,3998.5,4118,4988,5916,3998,4016.5,3877
