#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,1578999642,0.819632518,1000000,3.75,0.049221267,0.734145861
2,1780628544,0.840036188,1000000,3.75,0.054003868,0.634599995
3,1581261159,0.911985327,1000000,3.75,0.046678863,0.659190688
4,1650541353,0.837692058,1000000,3.75,0.094612907,0.680996603
5,1761762616,0.844941785,1000000,3.75,0.073741349,0.635173014
6,1805245330,0.844646663,1000000,3.75,0.073664873,0.62009972
7,1790403362,0.843569585,1000000,3.75,0.079809965,0.625271719
8,1703007232,0.839506906,1000000,3.75,0.073894022,0.661320879
9,1751090754,0.848822991,1000000,3.75,0.049936032,0.6391403
10,1859923624,0.891455228,1000000,3.75,0.084325976,0.569055165
11,1662413559,0.80092384,1000000,3.75,0.071847455,0.710394895
12,1689722233,0.786279953,1000000,3.75,0.095516586,0.70857312
13,1744825482,0.780833445,1000000,3.75,0.08221328,0.692822275
14,1654522128,0.871179259,1000000,3.75,0.107880128,0.651509677
15,1991489763,0.829845349,1000000,3.75,0.112871362,0.567662889
16,1775930955,0.883458247,1000000,3.75,0.07339743,0.602675975
17,1632569335,0.822953484,1000000,3.75,0.11098497,0.698527271
18,1849171990,0.912682526,1000000,3.75,0.074309845,0.560170148
19,1869678916,0.85586122,1000000,3.75,0.106990714,0.586959464
20,1686586133,0.768823188,1000000,3.75,0.109982731,0.723906851
21,1878095369,0.779264995,1000000,3.75,0.03807262,0.650638949
22,1679929299,0.849052513,1000000,3.75,0.074614864,0.662773354
23,1805552436,0.84392778,1000000,3.75,0.084881752,0.619135084
24,1729059050,0.861648639,1000000,3.75,0.088191187,0.632810338
25,1872907995,0.752624229,1000000,3.75,0.020034566,0.677947189
26,1557258422,0.717708854,1000000,3.75,0.109103798,0.840011675
27,1692090028,0.775499735,1000000,3.75,0.087852582,0.718518362
28,1629290073,0.738799332,1000000,3.75,0.045748193,0.789873845
29,1841288297,0.89071342,1000000,3.75,0.076264564,0.576219507
30,1699076714,0.763709066,1000000,3.75,0.131791083,0.720229747
31,1670859892,0.826599363,1000000,3.75,0.07741465,0.684089665
32,1796468664,0.84734792,1000000,3.75,0.07906222,0.620474545
33,1687417790,0.881714154,1000000,3.75,0.023497553,0.64186453
34,1696131778,0.844204964,1000000,3.75,0.083280303,0.65907103
35,1863115166,0.848075481,1000000,3.75,0.093415312,0.596054035
36,1759467021,0.815862395,1000000,3.75,0.090401776,0.656483176
37,1648122788,0.76063701,1000000,3.75,0.07219538,0.754454409
38,1681889020,0.891421515,1000000,3.75,0.121854445,0.624598418
39,1774503114,0.849268342,1000000,3.75,0.033331987,0.632453266
40,1850502655,0.781789804,1000000,3.75,0.058993744,0.655482677
41,1773513581,0.794626656,1000000,3.75,0.041412152,0.675239885
42,1647144221,0.830875937,1000000,3.75,0.059613645,0.692818728
43,1505969620,0.826113033,1000000,3.75,0.073749663,0.759993384
44,1723452710,0.875781776,1000000,3.75,0.054497465,0.628830435
45,1724410169,0.812892152,1000000,3.75,0.054598227,0.677090365
46,1892808105,0.917880683,1000000,3.75,0.069477629,0.544681119
47,1675663872,0.87089533,1000000,3.75,0.0982808,0.644738997
48,1865139331,0.886860628,1000000,3.75,0.09364498,0.569342004
49,1762322949,0.823580112,1000000,3.75,0.041292327,0.655653968
50,1796620040,0.841327441,1000000,3.75,0.11600772,0.620255666
51,1723271184,0.80320432,1000000,3.75,0.131345859,0.675260453
52,1669966852,0.814170698,1000000,3.75,0.080703525,0.694448134
53,1660377483,0.812870953,1000000,3.75,0.098161677,0.697137958
54,1825807439,0.841769591,1000000,3.75,0.078221852,0.614652984
55,1761244145,0.89046052,1000000,3.75,0.098476375,0.599909257
56,1554040786,0.788046456,1000000,3.75,0.114108095,0.765849799
57,1777974528,0.775294607,1000000,3.75,0.088853251,0.683854674
58,1689004654,0.84540075,1000000,3.75,0.094249615,0.659468196
59,1757598627,0.902649278,1000000,3.75,0.090247914,0.594013434
60,1829655020,0.760085338,1000000,3.75,0.056768626,0.682183752
61,1710944158,0.838535889,1000000,3.75,0.080362321,0.65816566
62,1640020777,0.843416029,1000000,3.75,0.052758972,0.686416186
63,1753820871,0.782257283,1000000,3.75,0.099336295,0.685662082
64,1782347600,0.847813805,1000000,3.75,0.131855612,0.618462609
65,1630960398,0.834373222,1000000,3.75,0.09641564,0.691664125
66,1947955315,0.773339978,1000000,3.75,0.076725245,0.627275599
67,1689063934,0.839638803,1000000,3.75,0.080138325,0.665845601
68,1559917423,0.774843163,1000000,3.75,0.054055685,0.785328771
69,1959811728,0.91921482,1000000,3.75,0.084092192,0.523766751
70,1790313459,0.841853132,1000000,3.75,0.060633548,0.628975852
71,1595172113,0.794374333,1000000,3.75,0.129041914,0.737938095
72,1743404752,0.843933152,1000000,3.75,0.093988839,0.640034999
73,1940366440,0.728588067,1000000,3.75,0.082993136,0.667573072
74,1692089323,0.838184862,1000000,3.75,0.095737075,0.663735317
75,1725274014,0.763357282,1000000,3.75,0.064264798,0.719283044
76,1721611564,0.834928166,1000000,3.75,0.079660267,0.657005907
77,1806247085,0.848295311,1000000,3.75,0.064959859,0.618160818
78,1914354569,0.804215388,1000000,3.75,0.018330291,0.62092863
79,1747863389,0.835795737,1000000,3.75,0.077438604,0.646752948
80,1753642847,0.746466393,1000000,3.75,0.06782259,0.723147433
81,1686551106,0.899011147,1000000,3.75,0.066950097,0.624437684
82,1596067064,0.844308765,1000000,3.75,0.113343263,0.696100812
83,1780151620,0.763668688,1000000,3.75,0.05785898,0.697713112
84,1560048854,0.828067487,1000000,3.75,0.068317735,0.732708977
85,1550583787,0.929469431,1000000,3.75,0.050050743,0.659146209
86,1603356895,0.760483804,1000000,3.75,0.135530716,0.765886105
87,1895950143,0.777079551,1000000,3.75,0.04832741,0.645012549
88,1866586064,0.736980112,1000000,3.75,0.121996497,0.680714692
89,1649570178,0.848000269,1000000,3.75,0.08684491,0.674161067
90,1639816013,0.848345316,1000000,3.75,0.07442345,0.679578106
91,1920969352,0.787766247,1000000,3.75,0.101439547,0.621361217
92,1689798395,0.84661527,1000000,3.75,0.096452857,0.657922588
93,1783985971,0.846384624,1000000,3.75,0.092452328,0.623855946
94,1683022957,0.862348904,1000000,3.75,0.138150063,0.643104699
95,1593553101,0.830628249,1000000,3.75,0.085269076,0.712679001
96,1885390043,0.722677259,1000000,3.75,0.092852147,0.691294626
97,1711906957,0.840391278,1000000,3.75,0.066316691,0.658183127
98,1519155077,0.836133069,1000000,3.75,0.0834781,0.742925132
99,1674192300,0.832837792,1000000,3.75,0.019733085,0.685410194
100,1869444948,0.853225973,1000000,3.75,0.093090646,0.590488313
101,1730093839,0.904003006,1000000,3.75,0.116266979,0.599418119
102,1841754024,0.821265279,1000000,3.75,0.056472922,0.627253883
103,1772467759,0.897748626,1000000,3.75,0.111501174,0.589728579
104,1914325530,0.836084142,1000000,3.75,0.064653574,0.591815572
105,1588712944,0.767892529,1000000,3.75,0.065443754,0.776315053
106,1848160241,0.807156344,1000000,3.75,0.030535874,0.639282611
107,1780482811,0.862681966,1000000,3.75,0.098898043,0.612483801
108,1897677461,0.811626317,1000000,3.75,0.092187681,0.611628892
109,1784897709,0.786264869,1000000,3.75,0.086693992,0.67198774
110,1883852826,0.833022846,1000000,3.75,0.098734993,0.599505833
111,1758129344,0.796853992,1000000,3.75,0.093043742,0.672299138
112,1788030503,0.860331435,1000000,3.75,0.081911823,0.613645661
113,1572238546,0.761494956,1000000,3.75,0.130278316,0.780834475
114,1852800981,0.807141175,1000000,3.75,0.015170122,0.639629739
115,1724825788,0.847719375,1000000,3.75,0.09347892,0.644105439
116,1642146283,0.818948775,1000000,3.75,0.074652554,0.702940803
117,1573972509,0.785445574,1000000,3.75,0.083997379,0.763245549
118,1883244896,0.813493416,1000000,3.75,0.090007626,0.615169843
119,1729369439,0.767285132,1000000,3.75,0.090574589,0.710169597
120,1819631857,0.817524046,1000000,3.75,0.093293481,0.633120478
121,1881782449,0.842347564,1000000,3.75,0.063238945,0.597741821
122,1706188510,0.836065388,1000000,3.75,0.088793778,0.660836502
123,1709393647,0.92414354,1000000,3.75,0.050211329,0.601335378
124,1776908781,0.744090206,1000000,3.75,0.11744903,0.708884485
125,1798976190,0.712015023,1000000,3.75,0.078519945,0.737458862
126,1688930398,0.798583503,1000000,3.75,0.084006484,0.699591692
127,1817463614,0.759787445,1000000,3.75,0.030495792,0.690614641
128,1711206347,0.854920097,1000000,3.75,0.063444278,0.647632648
129,1708701708,0.825226293,1000000,3.75,0.029787938,0.676417842
130,1725746264,0.811051757,1000000,3.75,0.093107658,0.672916325
131,1648272125,0.8499294,1000000,3.75,0.061127597,0.676620198
132,1924607057,0.867939225,1000000,3.75,0.089813658,0.56421072
133,1943365124,0.840416541,1000000,3.75,0.108935772,0.574857188
134,1789515200,0.827170259,1000000,3.75,0.006505829,0.647317483
135,1782881679,0.850984726,1000000,3.75,0.098691777,0.620092914
136,1744136625,0.865187841,1000000,3.75,0.065644497,0.627589438
137,1761935000,0.797842903,1000000,3.75,0.088255128,0.670657487
138,1546640705,0.842829535,1000000,3.75,0.087434401,0.723352703
139,1835380035,0.758855533,1000000,3.75,0.034083905,0.684227398
140,1750187081,0.918573989,1000000,3.75,0.098687993,0.585197912
141,1830593682,0.862039751,1000000,3.75,0.038771299,0.603342
142,1917889121,0.771509586,1000000,3.75,0.057847404,0.641025106
143,1740623453,0.736680397,1000000,3.75,0.113671668,0.731496032
144,1559336326,0.832230961,1000000,3.75,0.049069657,0.732171738
145,1529169474,0.820935242,1000000,3.75,0.034025669,0.759147297
146,1696356571,0.807589205,1000000,3.75,0.065827545,0.691262607
147,1790553506,0.879098993,1000000,3.75,0.109655218,0.596377369
148,1828626135,0.828282463,1000000,3.75,0.085364693,0.62280991
149,1743571798,0.787857903,1000000,3.75,0.034418002,0.693695923
150,1741763970,0.763020463,1000000,3.75,0.085237932,0.709813759
151,1774434819,0.736667412,1000000,3.75,0.090996002,0.720839416
152,1716930497,0.885765911,1000000,3.75,0.084004046,0.620447822
153,1739844308,0.84285694,1000000,3.75,0.127174019,0.637898954
154,1606122003,0.833286694,1000000,3.75,0.130400061,0.698490997
155,1738935302,0.8400524,1000000,3.75,0.069216231,0.647840276
156,1597592054,0.815774209,1000000,3.75,0.03500333,0.731089817
157,1819071647,0.79991489,1000000,3.75,0.08926699,0.647778617
158,1698015415,0.80296352,1000000,3.75,0.093068841,0.690800281
159,1801638477,0.861396788,1000000,3.75,0.07473382,0.609129174
160,1893859068,0.917473402,1000000,3.75,0.010099472,0.551060686
161,1887837876,0.760691249,1000000,3.75,0.092266845,0.655973838
162,1594849226,0.830400415,1000000,3.75,0.134844068,0.70524067
163,1853772586,0.784582257,1000000,3.75,0.044531329,0.653871546
164,1809524123,0.801951849,1000000,3.75,0.042259799,0.655647114
165,1624848527,0.835566759,1000000,3.75,0.048058492,0.699986529
166,1744383030,0.909080903,1000000,3.75,0.070725144,0.596599439
167,1708936271,0.828425161,1000000,3.75,0.061085496,0.66954722
168,1655277111,0.713869496,1000000,3.75,0.065186153,0.801524146
169,1821952581,0.825348379,1000000,3.75,0.083419548,0.627557126
170,1897787934,0.882137442,1000000,3.75,0.018074175,0.571050391
171,1723018705,0.79467819,1000000,3.75,0.051743063,0.693561528
172,1817894268,0.774540812,1000000,3.75,0.054102969,0.674139724
173,1681213287,0.790763561,1000000,3.75,0.064278997,0.712549546
174,1686798491,0.769809437,1000000,3.75,0.084060705,0.726650526
175,1974062730,0.935239153,1000000,3.75,0.058259379,0.513713149
176,1863807779,0.898733505,1000000,3.75,0.073261938,0.564515226
177,1685142310,0.824953869,1000000,3.75,0.092837682,0.677553806
178,1656284130,0.75763684,1000000,3.75,0.09074837,0.750923369
179,1914268443,0.832902398,1000000,3.75,0.073234599,0.593079792
180,1723786173,0.931434399,1000000,3.75,0.096430001,0.586221995
181,1660697771,0.920398067,1000000,3.75,0.062338603,0.619991658
182,1747928185,0.873641213,1000000,3.75,0.117541235,0.613764044
183,1802961852,0.804998333,1000000,3.75,0.089019725,0.64947157
184,1719392649,0.790740713,1000000,3.75,0.081167778,0.694406414
185,1606662397,0.846872268,1000000,3.75,0.090542587,0.692575106
186,1725028381,0.825648668,1000000,3.75,0.097740716,0.660681668
187,1802676241,0.84779456,1000000,3.75,0.028885943,0.624199474
188,1762546490,0.819383322,1000000,3.75,0.064337434,0.655921369
189,1760591061,0.844318434,1000000,3.75,0.0724388,0.636230067
190,1646302873,0.828107478,1000000,3.75,0.03172192,0.699345741
191,1750760841,0.856251928,1000000,3.75,0.05206068,0.633447344
192,1701423640,0.835254561,1000000,3.75,0.072362875,0.665509417
193,1745996266,0.883799239,1000000,3.75,0.051462668,0.615451043
194,1907857633,0.923804613,1000000,3.75,0.054014431,0.538572767
195,1673766521,0.834031624,1000000,3.75,0.097021146,0.674169303
196,1596744531,0.799666302,1000000,3.75,0.07653089,0.740083031
197,1745962668,0.885251531,1000000,3.75,0.016258105,0.618745682
198,1832189070,0.818920492,1000000,3.75,0.090479581,0.6280625
199,1762876336,0.838768207,1000000,3.75,0.13133001,0.632104027
200,1914019592,0.880726467,1000000,3.75,0.047357539,0.563841002
201,1638532358,0.805170675,1000000,3.75,0.095615083,0.713552052
202,1820920218,0.753916096,1000000,3.75,0.082406787,0.687545639
203,1676072348,0.854422976,1000000,3.75,0.092164032,0.65781366
204,1759395815,0.74581243,1000000,3.75,0.08128732,0.719481041
205,1714573444,0.898289525,1000000,3.75,0.070246909,0.614322144
206,1722805205,0.868574875,1000000,3.75,0.039401628,0.636187577
207,1849949325,0.843742093,1000000,3.75,0.045993817,0.609104694
208,1759396001,0.781180463,1000000,3.75,0.09106959,0.685565051
209,1653956539,0.785472631,1000000,3.75,0.069020617,0.728483151
210,1795150281,0.747017001,1000000,3.75,0.017747611,0.712943363
211,1762641901,0.796307349,1000000,3.75,0.085071717,0.672108686
212,1913663695,0.815433569,1000000,3.75,0.048391752,0.60897689
213,1873644616,0.812480452,1000000,3.75,0.110774602,0.616521881
214,1602174260,0.776821198,1000000,3.75,0.088491709,0.757454742
215,1841970034,0.773143916,1000000,3.75,0.0652695,0.665052666
216,1849342978,0.809410346,1000000,3.75,0.049372648,0.634723111
217,1801617681,0.857725258,1000000,3.75,0.080592014,0.611029201
218,1879241105,0.837973144,1000000,3.75,0.081306021,0.599512581
219,1750459167,0.838217193,1000000,3.75,0.048565488,0.647636778
220,1752281505,0.77400348,1000000,3.75,0.042451,0.701486933
221,1734626098,0.896254587,1000000,3.75,0.091073622,0.60607452
222,1794997690,0.847038441,1000000,3.75,0.066147199,0.622810712
223,1924167964,0.824158043,1000000,3.75,0.055392639,0.598409043
224,1627722883,0.835925119,1000000,3.75,0.087920285,0.692929849
225,1713946682,0.895940249,1000000,3.75,0.082338798,0.61467423
226,1609286219,0.831405356,1000000,3.75,0.069607464,0.707257885
227,1767344923,0.860671741,1000000,3.75,0.057006641,0.623668118
228,1837176652,0.811576203,1000000,3.75,0.049106872,0.637254922
229,1674961238,0.924922147,1000000,3.75,0.099052266,0.607239137
230,1727823362,0.755301622,1000000,3.75,0.030234559,0.730796198
231,1606552046,0.822036622,1000000,3.75,0.059358767,0.717998376
232,1759578734,0.815667627,1000000,3.75,0.105217147,0.654652874
233,1798385540,0.752579544,1000000,3.75,0.095300682,0.69560189
234,1722996341,0.842347285,1000000,3.75,0.116667133,0.645890548
235,1547048021,0.818349162,1000000,3.75,0.094267086,0.743778081
236,1663057826,0.871089982,1000000,3.75,0.090518486,0.650490775
237,1761969547,0.846387775,1000000,3.75,0.054574825,0.636435473
238,1568642368,0.899965632,1000000,3.75,0.098839086,0.666405197
239,1770014491,0.829277831,1000000,3.75,0.079490717,0.643415284
240,1722414374,0.807149004,1000000,3.75,0.047625552,0.683643432
241,1673167895,0.830538537,1000000,3.75,0.107427532,0.675835672
242,1883802957,0.830399674,1000000,3.75,0.094130694,0.601970242
243,1582111427,0.762239756,1000000,3.75,0.02449101,0.791735278
244,1846462865,0.829903772,1000000,3.75,0.097189052,0.614134435
245,1630765155,0.819682907,1000000,3.75,0.087112612,0.705455979
246,1831647809,0.773599717,1000000,3.75,0.080633622,0.66636307
247,1775701953,0.843698046,1000000,3.75,0.079114574,0.630439958
248,1563181987,0.894888742,1000000,3.75,0.039872346,0.680470911
249,1791877035,0.831087997,1000000,3.75,0.08472338,0.633518539
250,1692603127,0.879915017,1000000,3.75,0.067533221,0.63563442
251,1730101395,0.932954246,1000000,3.75,0.088555629,0.584050037
252,1830664896,0.819257653,1000000,3.75,0.122173161,0.62434424
253,1809801809,0.779757922,1000000,3.75,0.073451417,0.670039643
254,1883604165,0.8392915,1000000,3.75,0.099696447,0.594992072
255,1571184351,0.845792236,1000000,3.75,0.129813964,0.703548858
256,1883858410,0.766636744,1000000,3.75,0.089158939,0.652667048
257,1718337803,0.732049932,1000000,3.75,0.081673706,0.750463853
258,1585461349,0.818010025,1000000,3.75,0.087353862,0.72706292
259,1672261413,0.791336165,1000000,3.75,0.063233085,0.715994529
260,1708435966,0.842815351,1000000,3.75,0.029209097,0.662480181
261,1872552966,0.841081421,1000000,3.75,0.090865923,0.598286473
262,1840551494,0.741413815,1000000,3.75,0.088725526,0.690809912
263,1671152053,0.829170822,1000000,3.75,0.062728457,0.683846293
264,1777667316,0.770138811,1000000,3.75,0.025891298,0.697218837
265,1927218560,0.860500128,1000000,3.75,0.087295118,0.568603425
266,1644338949,0.845832553,1000000,3.75,0.043519233,0.683909649
267,1765554030,0.817170071,1000000,3.75,0.081590479,0.654323893
268,1711569658,0.919829395,1000000,3.75,0.096826803,0.597807565
269,1832815383,0.843948092,1000000,3.75,0.064344526,0.612413014
270,1623942454,0.834368978,1000000,3.75,0.112855937,0.692370105
271,1905843320,0.842519195,1000000,3.75,0.091621678,0.58674404
272,1816999438,0.843086564,1000000,3.75,0.078890822,0.616585453
273,1720337824,0.753930689,1000000,3.75,0.092641194,0.726242982
274,1790451616,0.902517987,1000000,3.75,0.04429863,0.588557567
275,1875656220,0.826997741,1000000,3.75,0.020174452,0.616057087
276,1705400475,0.787844921,1000000,3.75,0.043329431,0.707984391
277,1740720792,0.875873953,1000000,3.75,0.071611817,0.620411424
278,1648325840,0.70947727,1000000,3.75,0.094195572,0.805212439
279,1792925497,0.849595914,1000000,3.75,0.070649549,0.621096539
280,1683400797,0.925424571,1000000,3.75,0.08898222,0.60508497
281,1747678574,0.915096683,1000000,3.75,0.107689434,0.587204066
282,1548781623,0.783270522,1000000,3.75,0.104719722,0.774594427
