#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,3697527169,0.835960325,1000000,3.75,0.097177757,0.309584286
2,3387037009,0.775761821,1000000,3.75,0.087274881,0.364965998
3,3570955641,0.812770075,1000000,3.75,0.024167634,0.334885374
4,3618827207,0.825834922,1000000,3.75,0.0560343,0.323031065
5,3615349477,0.819834884,1000000,3.75,0.074803812,0.324403786
6,3130241606,0.863994344,1000000,3.75,0.13346503,0.351060119
7,3488807016,0.844278354,1000000,3.75,0.076507816,0.326318296
8,3045279072,0.879156924,1000000,3.75,0.081925579,0.358596453
9,3233885286,0.76183418,1000000,3.75,0.058179524,0.391671058
10,3500453066,0.828897133,1000000,3.75,0.1047457,0.329263033
11,3253052119,0.838720262,1000000,3.75,0.031833709,0.355659181
12,3218696342,0.810967869,1000000,3.75,0.053440852,0.370051342
13,3844068322,0.837198623,1000000,3.75,0.064129814,0.299457331
14,3379750069,0.848609841,1000000,3.75,0.087208064,0.334360014
15,3884482942,0.8930029,1000000,3.75,0.042804584,0.279089507
16,3713754218,0.873152001,1000000,3.75,0.101374017,0.29483597
17,3578772239,0.846304205,1000000,3.75,0.068691139,0.31788525
18,3753016365,0.836765317,1000000,3.75,0.054759463,0.307495928
19,3276745975,0.771787808,1000000,3.75,0.06360521,0.381120718
20,3807157286,0.838897296,1000000,3.75,0.064664021,0.30171392
21,3738566080,0.877759984,1000000,3.75,0.063756425,0.293702993
22,3652846787,0.76839951,1000000,3.75,0.084491074,0.341854918
23,3788807785,0.832854746,1000000,3.75,0.109161302,0.302470039
24,3715137128,0.902292398,1000000,3.75,0.102212542,0.285156228
25,3442619880,0.793313017,1000000,3.75,0.098515762,0.350281493
26,3364720456,0.787762878,1000000,3.75,0.073363411,0.362870853
27,3585877644,0.835935319,1000000,3.75,0.093630699,0.319476769
28,3549361712,0.754698201,1000000,3.75,0.118320637,0.355607806
