#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,917494396.8,0.856084912,1000000,3.25,0.081587966,1.173309797
2,926826336.8,0.853302697,1000000,3.25,0.066536264,1.170534783
3,931840400.5,0.771417081,1000000,3.25,0.040051638,1.297986064
4,928944033.3,0.782412627,1000000,3.25,0.125950846,1.251123523
5,920797799.2,0.890732181,1000000,3.25,0.095586021,1.118916006
6,932242873.2,0.860468194,1000000,3.25,0.079731742,1.1495037
7,927512455.9,0.841093625,1000000,3.25,0.139804942,1.160731803
8,921845422.3,0.828297685,1000000,3.25,0.09660843,1.201519497
9,930737122.1,0.743246528,1000000,3.25,0.08799493,1.329655418
10,924887768.3,0.893329075,1000000,3.25,0.094751115,1.111008565
11,932573792.8,0.878294208,1000000,3.25,0.053386345,1.134648986
12,924665601.7,0.880084218,1000000,3.25,0.083365975,1.131860129
13,930356988,0.809515175,1000000,3.25,0.099239117,1.217186124
14,922845921.2,0.820163043,1000000,3.25,0.085380457,1.216214374
15,925427680.4,0.771993991,1000000,3.25,0.077983174,1.291353223
16,923888394.9,0.759972005,1000000,3.25,0.099897386,1.305354418
17,930934020.4,0.848055617,1000000,3.25,0.048971322,1.178719436
18,918869651.3,0.750024894,1000000,3.25,0.131268033,1.317330391
19,923769934.1,0.903752795,1000000,3.25,0.091775878,1.100506665
20,915291365.4,0.832664356,1000000,3.25,0.071810903,1.212755135
21,922989296.5,0.830769351,1000000,3.25,0.097027414,1.196309387
22,916427240.8,0.823487011,1000000,3.25,0.047962547,1.233470667
23,920247230.2,0.833539925,1000000,3.25,0.035898274,1.217875828
24,922008465.1,0.858708763,1000000,3.25,0.081358833,1.164077653
25,922749243.1,0.816389108,1000000,3.25,0.093349373,1.219045655
26,924846069.4,0.810719314,1000000,3.25,0.097238646,1.223356605
27,924742262.9,0.782390519,1000000,3.25,0.123774456,1.257673834
28,919584353.6,0.881918077,1000000,3.25,0.127336825,1.120786992
29,922153553.7,0.845893305,1000000,3.25,0.063058644,1.188001327
