#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,1102465580,0.841175354,1000000,3.25,0.085807595,1.033224438
2,1107520039,0.85802518,1000000,3.25,0.120091891,0.996865755
3,1097185691,0.866216147,1000000,3.25,0.090023195,1.006776923
4,1089050260,0.745948654,1000000,3.25,0.080842464,1.181415716
5,1100880002,0.853714059,1000000,3.25,0.091102262,1.017728279
6,1095578282,0.722322478,1000000,3.25,0.076441405,1.214552771
7,1095514474,0.875537778,1000000,3.25,0.094636301,0.996051737
8,1100858309,0.770124377,1000000,3.25,0.084081935,1.130842225
9,1098147019,0.797248915,1000000,3.25,0.079412227,1.096757078
10,1103119590,0.922091014,1000000,3.25,0.086737354,0.941707764
11,1102188132,0.710645688,1000000,3.25,0.092135582,1.220749443
12,1093210381,0.846749084,1000000,3.25,0.121033394,1.02304059
13,1093317277,0.931615611,1000000,3.25,0.083153586,0.94155292
14,1098969460,0.81410324,1000000,3.25,0.081082926,1.072654783
15,1105282655,0.810857506,1000000,3.25,0.08044621,1.071022478
16,1106086005,0.83823133,1000000,3.25,0.098373584,1.029159825
17,1089689242,0.844329645,1000000,3.25,0.085599956,1.041505105
18,1096519374,0.841123262,1000000,3.25,0.125117356,1.025370511
19,1089617128,0.806260543,1000000,3.25,0.080774591,1.092496404
20,1092201610,0.741002882,1000000,3.25,0.078341602,1.186849779
21,1092307842,0.777871958,1000000,3.25,0.059665319,1.137459431
22,1097246049,0.928959001,1000000,3.25,0.080837571,0.941585432
23,1097727875,0.741079878,1000000,3.25,0.082536156,1.179116406
24,1087120203,0.887903989,1000000,3.25,0.033610322,1.009820136
25,1098947973,0.812619163,1000000,3.25,0.077374717,1.075952093
26,1090377054,0.782001903,1000000,3.25,0.056026491,1.134809594
27,1099394054,0.929652309,1000000,3.25,0.075325607,0.940755818
28,1097127397,0.85805215,1000000,3.25,0.113336609,1.008553513
29,1090374808,0.911420829,1000000,3.25,0.100409839,0.959503881
30,1093146275,0.905483302,1000000,3.25,0.075587066,0.971302836
31,1097485224,0.915849377,1000000,3.25,0.050353888,0.964476673
32,1095604582,0.923178234,1000000,3.25,0.103765585,0.941709515
33,1104474289,0.877939243,1000000,3.25,0.052306078,0.999118162
34,1090019299,0.82288912,1000000,3.25,0.107433184,1.060596045
