#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis,
1,13848243071,0.797126809,1000000,2.541666667,0.135069877,0.096231105,
2,11978485443,0.752924091,1000000,2.541666667,0.085825788,0.121190778,
3,10455714963,0.846574248,1000000,2.541666667,0.013410121,0.128587352,
4,13463704189,0.828690347,1000000,2.541666667,0.061000147,0.099352361,
5,12116952348,0.843902709,1000000,2.541666667,0.08562706,0.106902083,
6,12985101862,0.824630432,1000000,2.541666667,0.094201877,0.101586525,
7,10988349783,0.827579633,1000000,2.541666667,0.085139062,0.120240465,
8,13557773551,0.898825686,1000000,2.541666667,0.074907352,0.090252174,
9,12164893906,0.859121675,1000000,2.541666667,0.109780701,0.103152322,
10,9983023434,0.893944484,1000000,2.541666667,0.097430234,0.121664287,
11,10930398260,0.82889973,1000000,2.541666667,0.028444577,0.124590348,
12,10510131936,0.750830625,1000000,2.541666667,0.058196867,0.1406921,
13,10213561343,0.787474894,1000000,2.541666667,0.015712459,0.141336578,
14,12835258321,0.831908411,1000000,2.541666667,0.094579291,0.101851318,
15,10978909537,0.821973238,1000000,2.541666667,0.069572942,0.122241069,
16,12112370417,0.822871074,1000000,2.541666667,0.11823844,0.107634044,
17,11965575199,0.757328789,1000000,2.541666667,0.096742024,0.11986419,
18,13442993533,0.838701654,1000000,2.541666667,0.09327619,0.096531244,
19,12453437193,0.858428238,1000000,2.541666667,0.046304485,0.104549008,
20,11202646874,0.839104858,1000000,2.541666667,0.077313464,0.116839942,
21,11098440641,0.884360748,1000000,2.541666667,0.06045132,0.112973809,
22,12224666399,0.845358708,1000000,2.541666667,0.082422273,0.105971168,
23,10368313386,0.848257257,1000000,2.541666667,0.092548476,0.123798922,
24,10115543803,0.881646682,1000000,2.541666667,0.079564565,0.122995318,
25,9675686515,0.88886856,1000000,2.541666667,0.087663184,0.12695433,
26,10577475686,0.853715039,1000000,2.541666667,0.09192712,0.120618029,
27,13451707010,0.78581594,1000000,2.541666667,0.057514146,0.105072302,
28,11286021095,0.779298108,1000000,2.541666667,0.066485246,0.125645646,
29,10834818337,0.85499985,1000000,2.541666667,0.086204452,0.117961722,
30,13373625147,0.826948572,1000000,2.541666667,0.078252754,0.099258734,
31,12652213165,0.854574879,1000000,2.541666667,0.084337873,0.101175376,
32,12190766527,0.863296011,1000000,2.541666667,0.07505446,0.104494763,
33,9922817399,0.76630818,1000000,2.541666667,0.044532452,0.147130991,
34,13091544663,0.930691065,1000000,2.541666667,0.06345198,0.090852889,
35,13373895069,0.837197134,1000000,2.541666667,0.070296966,0.098485086,
36,12523780885,0.774329954,1000000,2.541666667,0.09510828,0.112112341,
37,10441149102,0.84453795,1000000,2.541666667,0.073549023,0.124821283,
38,14256191428,0.718164538,1000000,2.541666667,0.096220429,0.106123154,
39,11176275864,0.784831619,1000000,2.541666667,0.090180258,0.124299112,
40,12565538862,0.901788685,1000000,2.541666667,0.081401146,0.09670134,
41,9552680775,0.812893202,1000000,2.541666667,0.099764885,0.139634863,
42,12339755604,0.818705495,1000000,2.541666667,0.068370255,0.109268536,
43,11149793319,0.833362709,1000000,2.541666667,0.082799216,0.117834264,
44,11030388977,0.745483229,1000000,2.541666667,0.090064527,0.132599441,
45,12842116158,0.834037667,1000000,2.541666667,0.056599854,0.103749797,
46,12740479471,0.833459715,1000000,2.541666667,0.078584004,0.103358026,
47,13008286702,0.888959313,1000000,2.541666667,0.060398942,0.095891477,
48,10184110145,0.806184475,1000000,2.541666667,0.087926213,0.132967052,
49,13208751195,0.839823465,1000000,2.541666667,0.020796847,0.102189169,
50,12019675392,0.885849765,1000000,2.541666667,0.090920028,0.102354018,
51,12156768966,0.853924718,1000000,2.541666667,0.083220013,0.105446108,
52,12372639657,0.810932995,1000000,2.541666667,0.082568734,0.109139556,
53,11966522741,0.838828052,1000000,2.541666667,0.096581009,0.108219808,
54,9922180812,0.798082831,1000000,2.541666667,0.039533598,0.141676154,
55,12037327426,0.75929906,1000000,2.541666667,0.072370786,0.120504479,
56,9461396981,0.832837794,1000000,2.541666667,0.085300616,0.138751339,
57,10748453336,0.856181326,1000000,2.541666667,0.040323389,0.12185667,
58,13382276832,0.777629707,1000000,2.541666667,0.098525172,0.104270033,
59,11224034153,0.838148899,1000000,2.541666667,0.114095941,0.114310385,
60,12450188330,0.751753639,1000000,2.541666667,0.076515286,0.117401504,
61,12008007152,0.831623692,1000000,2.541666667,0.087846683,0.109326013,
62,10878290467,0.805377161,1000000,2.541666667,0.076548762,0.125417143,
63,10922922164,0.839262642,1000000,2.541666667,0.093788822,0.118688049,
64,12350544997,0.82822756,1000000,2.541666667,0.089061653,0.106655632,
65,12691070665,0.816688902,1000000,2.541666667,0.141531402,0.10210124,
66,11104853064,0.832963033,1000000,2.541666667,0.045987564,0.120851333,
67,12031193659,0.8674638,1000000,2.541666667,0.027789685,0.108198069,
68,13605270751,0.911396451,1000000,2.541666667,0.048312401,0.090035021,
69,9514005750,0.888693926,1000000,2.541666667,0.144933724,0.124910259,
70,12713259902,0.842975178,1000000,2.541666667,0.070147427,0.102901369,
71,9771199873,0.935898404,1000000,2.541666667,0.089393466,0.119278057,
72,13823508254,0.812544374,1000000,2.541666667,0.095721907,0.096760163,
73,10940458148,0.804326434,1000000,2.541666667,0.093524073,0.123663579,
74,12890783644,0.788213863,1000000,2.541666667,0.113288326,0.105885366,
75,9147437303,0.813857494,1000000,2.541666667,0.036070219,0.150987116,
76,11011911240,0.869389188,1000000,2.541666667,0.111763801,0.112477656,
77,12344746250,0.808589335,1000000,2.541666667,0.084618861,0.109575045,
78,11051375641,0.841262304,1000000,2.541666667,0.009748255,0.122670551,
79,10745344600,0.790879039,1000000,2.541666667,0.102972056,0.127356132,
80,9400860373,0.823764466,1000000,2.541666667,0.086707342,0.141069583,
81,10928152576,0.82847728,1000000,2.541666667,0.063332256,0.122274849,
82,14025406184,0.778309069,1000000,2.541666667,0.013257268,0.104276368,
83,12352984299,0.836410445,1000000,2.541666667,0.091160991,0.105464536,
84,12065121209,0.905414151,1000000,2.541666667,0.092363403,0.09968267,
85,10975158611,0.84152227,1000000,2.541666667,0.109320367,0.116756563,
86,13585342453,0.831469139,1000000,2.541666667,0.079595179,0.097106456,
87,13841210112,0.835585615,1000000,2.541666667,0.075147858,0.095081766,
88,10955592356,0.774772404,1000000,2.541666667,0.004413069,0.134754735,
89,14237356386,0.857013258,1000000,2.541666667,0.092814692,0.089221475,
90,13528573964,0.807430116,1000000,2.541666667,0.07658509,0.100589104,
91,12221718113,0.864220221,1000000,2.541666667,0.080012914,0.103825712,
92,13529026921,0.728776731,1000000,2.541666667,0.111441168,0.109235381,
93,12260442231,0.731546687,1000000,2.541666667,0.03088685,0.125686157,
94,12713354614,0.832929821,1000000,2.541666667,0.09553628,0.102645442,
95,12657953737,0.787119696,1000000,2.541666667,0.035608217,0.11284824,
96,10307845441,0.823581144,1000000,2.541666667,0.039155138,0.132180985,
97,12059602869,0.815416067,1000000,2.541666667,0.081217563,0.111442674,
98,12565947734,0.769079271,1000000,2.541666667,0.09634758,0.112418957,
99,9588613995,0.837945762,1000000,2.541666667,0.076229029,0.136780433,
100,9377040457,0.844202966,1000000,2.541666667,0.077861288,0.138701242,
101,9773142023,0.85293817,1000000,2.541666667,0.090357194,0.130781372,
102,13353194386,0.773805025,1000000,2.541666667,0.092705821,0.105365075,
103,12548300604,0.799148054,1000000,2.541666667,0.074657438,0.109690986,
104,12400352702,0.895138242,1000000,2.541666667,0.045274545,0.100748518,
105,12299327226,0.834902397,1000000,2.541666667,0.095624956,0.105844687,
106,12225104862,0.873763032,1000000,2.541666667,0.090198195,0.102068308,
107,10369439328,0.834576745,1000000,2.541666667,0.027265813,0.130522007,
108,13992605681,0.83275196,1000000,2.541666667,0.061879767,0.09508361,
109,13444280511,0.915158448,1000000,2.541666667,0.083377114,0.088960158,
110,12534127805,0.791922468,1000000,2.541666667,0.106080199,0.108841496,
111,14761219891,0.746202873,1000000,2.541666667,0.094977955,0.098711616,
112,11007403717,0.910790908,1000000,2.541666667,0.087341917,0.108928871,
