#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,938485390.2,0.824477482,100000000,3.583333333,0.09316825,99.24070223
2,844862108,0.843459508,100000000,3.583333333,0.114092511,107.6561228
3,1089288872,0.825993506,100000000,3.583333333,0.045964214,85.52517592
4,1039144189,0.820811147,100000000,3.583333333,0.061590122,90.15526654
5,996113726.9,0.883222724,100000000,3.583333333,0.036938649,87.5003382
6,892695719.4,0.890986816,100000000,3.583333333,0.091729067,96.54936384
7,1178515004,0.88768007,100000000,3.583333333,0.086138475,73.42455507
8,1037431023,0.77600238,100000000,3.583333333,0.067769987,95.49217413
9,969638617,0.902365909,100000000,3.583333333,0.093219491,87.76120221
10,982155293.1,0.858458343,100000000,3.583333333,0.048323529,91.25748081
11,709761437.8,0.876938904,100000000,3.583333333,0.050590687,123.6067242
12,614903470.1,0.743988045,100000000,3.583333333,0.03346647,168.2997135
13,864040011.2,0.818117078,100000000,3.583333333,0.089489821,108.6471656
14,963321149.1,0.862016843,100000000,3.583333333,0.077340432,92.53737324
15,1104933660,0.830770445,100000000,3.583333333,0.081946697,83.69455362
16,901141054.2,0.837121999,100000000,3.583333333,0.068697274,101.9038311
17,910041761.6,0.8459993,100000000,3.583333333,0.041487128,99.96990358
18,658313994.1,0.831039981,100000000,3.583333333,0.083881428,140.4176838
19,1174091627,0.844531244,100000000,3.583333333,0.10360671,77.40611504
20,1010656067,0.810569123,100000000,3.583333333,0.090233312,93.74752363
21,733357031.2,0.883001304,100000000,3.583333333,0.044751313,118.839392
22,910145110.3,0.790388945,100000000,3.583333333,0.129941862,106.568416
23,683669140.1,0.758903571,100000000,3.583333333,0.050460149,148.2838304
24,898061241.2,0.872938866,100000000,3.583333333,0.025103696,98.24913925
25,1138043253,0.905037639,100000000,3.583333333,0.076222839,74.61056615
26,883383746.5,0.859813958,100000000,3.583333333,0.106590533,101.0371291
27,1152746115,0.86122874,100000000,3.583333333,0.019661681,77.60182101
28,904897263,0.8271579,100000000,3.583333333,0.137931896,102.3850521
29,932487554.3,0.83152639,100000000,3.583333333,0.070527143,99.13280458
30,1090439921,0.827725523,100000000,3.583333333,0.069245466,85.16738193
31,1051957339,0.825149745,100000000,3.583333333,0.026261757,88.72891573
32,1061245901,0.838454824,100000000,3.583333333,0.094854983,86.29142247
33,1155480838,0.848950802,100000000,3.583333333,0.079731949,78.32713467
34,1042439265,0.908198423,100000000,3.583333333,0.090339455,81.11845654
35,1009699703,0.846514761,100000000,3.583333333,0.081746876,89.885898
36,628305708,0.737013635,100000000,3.583333333,0.103129666,165.7508415
37,691944014.4,0.850047642,100000000,3.583333333,0.099642608,130.5136461
38,864029589.7,0.783960837,100000000,3.583333333,0.030936558,113.679561
39,774153462.1,0.799546781,100000000,3.583333333,0.021495238,124.4565027
40,1147783406,0.847781266,100000000,3.583333333,0.05440571,79.05074715
41,1049717803,0.754404288,100000000,3.583333333,0.073205776,97.0527156
42,663499365.2,0.804885308,100000000,3.583333333,0.084222308,143.8452973
43,978978505.6,0.763119063,100000000,3.583333333,0.020931291,103.1178884
44,991921965.4,0.804332604,100000000,3.583333333,0.022652194,96.55014066
45,1125250526,0.838383224,100000000,3.583333333,0.073861178,81.46664972
46,642335478.6,0.770852409,100000000,3.583333333,0.083313081,155.1510505
47,990889803.8,0.828971876,100000000,3.583333333,0.118799437,93.37529041
48,1051055870,0.831103332,100000000,3.583333333,0.093513943,87.9039907
49,1014003302,0.895858275,100000000,3.583333333,0.087770177,84.55172808
50,991355533.9,0.83527883,100000000,3.583333333,0.082375498,92.77803928
51,741442553.8,0.922239383,100000000,3.583333333,0.110299858,112.2125662
52,1151160651,0.814306347,100000000,3.583333333,0.11205084,81.84738576
53,1024619555,0.799225363,100000000,3.583333333,0.087167465,93.79528215
54,1033010929,0.831808854,100000000,3.583333333,0.054247406,89.52088269
