#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,10164168073,0.913288348,100000000,4.75,0.06950161,10.77670758
2,3785152227,0.875304239,100000000,4.75,0.097324787,30.17267616
3,12458551722,0.805238513,100000000,4.75,0.112463971,9.960830308
4,17413800811,0.735006388,100000000,4.75,0.074612054,7.81491593
5,21542120652,0.902623226,100000000,4.75,0.079585655,5.143499434
6,11594963699,0.903487035,100000000,4.75,0.037350725,9.557230535
7,5529288278,0.838050368,100000000,4.75,0.099316677,21.57221218
8,8230116838,0.798780439,100000000,4.75,0.067293382,15.21797957
9,6764124302,0.861368874,100000000,4.75,0.110992064,17.15154621
10,10611645339,0.836298875,100000000,4.75,0.084708991,11.26814433
11,4414614507,0.921248555,100000000,4.75,0.064944891,24.60067012
12,11839016944,0.826982645,100000000,4.75,0.134025043,10.20082758
13,10053946274,0.856012319,100000000,4.75,0.084823305,11.61926864
14,14057116345,0.850431531,100000000,4.75,0.095560163,8.362579604
15,10696867916,0.843243675,100000000,4.75,0.094847311,11.08342708
16,14610218152,0.840776487,100000000,4.75,0.073115243,8.14307419
17,10819834987,0.821885499,100000000,4.75,0.026861601,11.261805
18,8422114599,0.858754334,100000000,4.75,0.08524786,13.82612741
19,14259808651,0.920910966,100000000,4.75,0.084523119,7.614955439
20,9475135143,0.777584452,100000000,4.75,0.086269717,13.57207618
21,9219091991,0.835041044,100000000,4.75,0.022682832,13.01039323
22,16616112459,0.811132808,100000000,4.75,0.139015709,7.409184982
23,10395778785,0.875432253,100000000,4.75,0.050744448,10.99752358
24,11189016678,0.792847732,100000000,4.75,0.045918568,11.28356728
25,21215834366,0.844952922,100000000,4.75,0.098001778,5.576427344
26,7722701200,0.791975246,100000000,4.75,0.018428401,16.37769675
27,22817416461,0.895435414,100000000,4.75,0.09493796,4.893076986
28,5650549891,0.844478754,100000000,4.75,0.051430102,20.97429675
29,16334913196,0.762240122,100000000,4.75,0.092622029,8.029711272
30,7916428198,0.846665112,100000000,4.75,0.059291685,14.92926685
31,17897660394,0.820226423,100000000,4.75,0.093428348,6.810352182
32,7123035578,0.830319644,100000000,4.75,0.106154861,16.89847341
33,7767807637,0.920121452,100000000,4.75,0.073321089,13.99522038
34,21368617007,0.841296722,100000000,4.75,0.057431341,5.566401144
35,18000839146,0.839412897,100000000,4.75,0.033264129,6.626747376
36,9453832193,0.802869572,100000000,4.75,0.032280865,13.19249213
37,7318779433,0.858816779,100000000,4.75,0.080913448,15.91108148
38,15659577186,0.713295105,100000000,4.75,0.097546933,8.949617302
39,14923679547,0.756806956,100000000,4.75,0.085785526,8.853676074
40,19931960856,0.810328467,100000000,4.75,0.084636985,6.191363742
41,15898878488,0.879675806,100000000,4.75,0.083627039,7.150222286
42,15433296265,0.840335069,100000000,4.75,0.053921321,7.716635135
43,12322665127,0.865489087,100000000,4.75,0.086846729,9.375762663
44,14407414340,0.833570567,100000000,4.75,0.059111776,8.332071839
45,9336404712,0.856124132,100000000,4.75,0.096370135,12.50692177
46,12210861830,0.862298804,100000000,4.75,0.067208281,9.501392614
47,18790762309,0.738878706,100000000,4.75,0.088744362,7.201685931
48,19237225731,0.892054432,100000000,4.75,0.089346196,5.826546704
49,9052604599,0.785597715,100000000,4.75,0.099610308,14.05584649
50,17389194280,0.848813006,100000000,4.75,0.043033256,6.782170841
51,15016742680,0.859323891,100000000,4.75,0.121780891,7.74196561
52,11811456452,0.866134675,100000000,4.75,0.058943986,9.781251158
53,8044712257,0.808120354,100000000,4.75,0.028163727,15.40419216
54,16834485895,0.911955469,100000000,4.75,0.069745123,6.516128707
55,10005633991,0.86739962,100000000,4.75,0.080444707,11.52338988
56,1883179084,0.839029364,100000000,4.75,0.094796201,63.27258541
57,8619294119,0.88268421,100000000,4.75,0.079967233,13.14535596
58,18342848462,0.872878914,100000000,4.75,0.062455405,6.249186034
59,13245441139,0.824720801,100000000,4.75,0.060219029,9.160005467
60,18373545505,0.84738769,100000000,4.75,0.119251019,6.417072184
61,15651460049,0.74907773,100000000,4.75,0.110046281,8.523791574
62,15598258417,0.74762308,100000000,4.75,0.092286849,8.573407868
63,11470519156,0.748900062,100000000,4.75,0.036646971,11.65532161
64,24705104166,0.833645343,100000000,4.75,0.056545155,4.858944632
65,13440367418,0.774889974,100000000,4.75,0.092537981,9.599714521
66,12865552524,0.823629846,100000000,4.75,0.030550042,9.450144521
67,14982756101,0.874256801,100000000,4.75,0.023682254,7.646180734
68,10849503042,0.791732136,100000000,4.75,0.097194805,11.63776389
69,12327272350,0.846339354,100000000,4.75,0.094848685,9.582354908
70,22174294651,0.865570905,100000000,4.75,0.09811714,5.208287245
71,16411262318,0.826868286,100000000,4.75,0.037568023,7.378067809
72,3030429041,0.835244911,100000000,4.75,0.099026319,39.49292614
73,10794567296,0.827170809,100000000,4.75,0.024367558,11.21675504
74,10858599124,0.874897157,100000000,4.75,0.093018175,10.52381851
75,17371485334,0.850674855,100000000,4.75,0.09228877,6.765684243
76,12870751234,0.796457281,100000000,4.75,0.047569565,9.764351221
