#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,728622792.6,0.832369719,40000000,4.25,0.07909576,75.81460585
2,588943661.9,0.814919032,40000000,4.25,0.076823808,95.86071277
3,754889496.7,0.835195394,40000000,4.25,0.032218746,73.81960622
4,562970366,0.798848533,40000000,4.25,0.099427365,101.6987485
5,745242344.4,0.86189026,40000000,4.25,0.046419946,72.19440305
6,835998459.9,0.849092588,40000000,4.25,0.077944981,64.79500869
7,739421911,0.867991529,40000000,4.25,0.126796147,70.75118714
8,725380587.8,0.797008061,40000000,4.25,0.091086332,79.28382459
9,698593746.4,0.755647145,40000000,4.25,0.092719089,86.79289126
10,746660385.9,0.806275983,40000000,4.25,0.114212786,75.67873052
11,712214915.2,0.874764431,40000000,4.25,0.05959228,74.17723794
12,646867151.8,0.726842836,40000000,4.25,0.121743741,96.70842941
13,690670568.7,0.849182114,40000000,4.25,0.096020179,78.05148092
14,805369446.4,0.93242296,40000000,4.25,0.090455769,61.04873686
15,723486658.7,0.802438808,40000000,4.25,0.090639995,78.96259911
16,759532033.5,0.836736302,40000000,4.25,0.052159312,72.85745576
17,680594604.1,0.835911331,40000000,4.25,0.098637094,80.40938597
18,737350227.1,0.760136775,40000000,4.25,0.089078123,81.82302332
19,661760641,0.793409452,40000000,4.25,0.095427055,87.2011128
20,789300319.8,0.840971878,40000000,4.25,0.113404687,68.65136527
21,713820624.8,0.829872735,40000000,4.25,0.083924463,77.52194865
22,601780903,0.828976752,40000000,4.25,0.012498797,93.76936249
23,724162222,0.847634153,40000000,4.25,0.09669494,74.56447083
24,718799736,0.853194043,40000000,4.25,0.070149467,75.14968079
25,680392173,0.826353515,40000000,4.25,0.111927384,81.08048752
26,700822755,0.843356369,40000000,4.25,0.135896666,76.64404524
27,720430983.6,0.842405603,40000000,4.25,0.110005525,75.15314489
28,847124170.2,0.823982656,40000000,4.25,0.066599764,66.08732846
29,598461096.6,0.735780484,40000000,4.25,0.0219813,105.9745889
30,787180247.9,0.856168989,40000000,4.25,0.011353168,69.42812164
31,774401700,0.759298739,40000000,4.25,0.094545366,77.8827932
32,692550677,0.835395035,40000000,4.25,0.095955666,79.12556407
33,822621813,0.878120211,40000000,4.25,0.079663655,63.64341257
34,733314723,0.827055811,40000000,4.25,0.092839198,75.54209698
35,798607293.3,0.816801769,40000000,4.25,0.051206634,71.00121531
36,729780120.8,0.84797402,40000000,4.25,0.064457435,74.58479181
37,811884869.8,0.899407494,40000000,4.25,0.102335888,62.58693778
38,723949727.7,0.866273416,40000000,4.25,0.102328108,72.87392181
39,615430679.4,0.786092369,40000000,4.25,0.069497134,95.28044237
40,691700099.7,0.781140176,40000000,4.25,0.090966797,84.83596167
41,818032702.9,0.856988851,40000000,4.25,0.128252627,64.7483659
42,737469136,0.908466891,40000000,4.25,0.074676558,68.7097914
43,635475038.1,0.812378315,40000000,4.25,0.086102942,88.90406304
44,645782963.9,0.776860325,40000000,4.25,0.134004022,90.34112647
45,701384082.9,0.858445415,40000000,4.25,0.09112287,76.12731227
46,756002954.1,0.836289875,40000000,4.25,0.092391598,72.47441942
47,868519367.2,0.841892057,40000000,4.25,0.039155142,63.53767313
48,671886895.1,0.849176969,40000000,4.25,0.090084978,80.35862284
49,679365471.1,0.838408561,40000000,4.25,0.038193574,81.58601187
50,741222938,0.781870679,40000000,4.25,0.089119838,79.13207899
51,603504500,0.903124257,40000000,4.25,0.092946985,84.05702206
52,849785668.7,0.809204909,40000000,4.25,0.030490757,67.71242696
53,763560416.4,0.808717591,40000000,4.25,0.102095278,74.01534081
54,731139534.1,0.885915713,40000000,4.25,0.099792667,70.60433438
55,676122871,0.921123657,40000000,4.25,0.024317232,74.88276764
56,757482149.2,0.772975716,40000000,4.25,0.089407481,78.31870029
57,617070902.8,0.837331869,40000000,4.25,0.074648109,89.09269761
58,719721772.5,0.794997876,40000000,4.25,0.05785794,80.80484598
59,680021940.8,0.819859516,40000000,4.25,0.089668062,82.24543387
60,724378989.3,0.84011909,40000000,4.25,0.079448988,75.5483953
61,738361850.9,0.855967781,40000000,4.25,0.095837039,72.43476895
62,657417817.1,0.768112038,40000000,4.25,0.04849366,91.78131875
63,685157357.3,0.861864647,40000000,4.25,0.024360494,78.97529064
64,679446741.3,0.875749596,40000000,4.25,0.070529474,77.44700079
65,728770837.5,0.92941209,40000000,4.25,0.029194854,68.76726347
66,739589298.7,0.853331867,40000000,4.25,0.082273345,72.79535691
67,776643594.4,0.848992858,40000000,4.25,0.05809802,70.1156883
68,732033374.2,0.763886266,40000000,4.25,0.09550254,81.87516171
69,720116252.3,0.831515735,40000000,4.25,0.089460374,76.58163594
70,591655222.3,0.851583389,40000000,4.25,0.071310916,91.44413701
