#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
1,4392674974,0.82046169,40000000,5.25,0.021609477,25.93891882
2,3848414070,0.858566193,40000000,5.25,0.053108548,27.80308024
3,4572010053,0.784333431,40000000,5.25,0.084916308,25.16160825
4,3533712538,0.868099904,40000000,5.25,0.009609202,30.67578205
5,5367303489,0.884772497,40000000,5.25,0.081231786,19.04011327
6,3239465453,0.831271264,40000000,5.25,0.100039881,33.21779029
7,3164847855,0.888826103,40000000,5.25,0.032359682,33.03648806
8,4516805962,0.839003525,40000000,5.25,0.085610987,23.80011784
9,4008161680,0.887283113,40000000,5.25,0.039360325,26.02977812
10,3311784072,0.789103416,40000000,5.25,0.067546952,34.86810064
11,4256100294,0.787020911,40000000,5.25,0.034044991,27.71789202
12,4606741970,0.841540445,40000000,5.25,0.034562943,23.94224328
13,4922123598,0.848821858,40000000,5.25,0.093059342,21.49597102
14,3806073094,0.803950292,40000000,5.25,0.089559892,29.40960066
15,4006416245,0.771654847,40000000,5.25,0.082893849,29.21914012
16,4485767813,0.840342998,40000000,5.25,0.0451586,24.47842517
17,4957444066,0.858873516,40000000,5.25,0.10262811,20.97747276
18,3952788605,0.789906504,40000000,5.25,0.084702966,28.90146263
19,3909577834,0.888601875,40000000,5.25,0.080063429,26.04405972
20,3589236342,0.87463611,40000000,5.25,0.081476062,28.79834281
21,4279749613,0.897938671,40000000,5.25,0.098470645,23.29772006
22,4147056151,0.724676386,40000000,5.25,0.084224662,30.03540063
23,3873665315,0.873842527,40000000,5.25,0.139606029,25.82494531
24,5141925333,0.765761681,40000000,5.25,0.146608175,22.10969464
25,3882811505,0.73746376,40000000,5.25,0.079874641,31.60133106
26,4475672388,0.834280675,40000000,5.25,0.08076052,24.22162097
27,3485267780,0.870025858,40000000,5.25,0.022239934,30.81912466
28,4567697728,0.92829367,40000000,5.25,0.069200235,21.47020059
29,3827506357,0.796348033,40000000,5.25,0.089294402,29.52857553
30,5040903382,0.84018608,40000000,5.25,0.097848129,21.14705299
31,4120445260,0.835990075,40000000,5.25,0.069169185,26.42902817
32,3959675725,0.826578039,40000000,5.25,0.048855234,28.13440704
33,4520812588,0.830713072,40000000,5.25,0.060256743,24.36350221
34,4831426690,0.857428707,40000000,5.25,0.08661413,21.75967762
35,4100572805,0.839643045,40000000,5.25,0.026658659,27.07647657
36,4586172521,0.834679488,40000000,5.25,0.080052789,23.63623335
37,4535204344,0.779675221,40000000,5.25,0.078408568,25.61199748
38,4653694833,0.818730099,40000000,5.25,0.13385843,23.02087858
39,4393071455,0.813854847,40000000,5.25,0.127917976,24.61813812
40,3058072348,0.83059674,40000000,5.25,0.090011818,35.41973472
41,4101400622,0.801602747,40000000,5.25,0.064782326,27.75938698
42,3981840097,0.758636161,40000000,5.25,0.028699259,30.82654871
43,3619067947,0.878589853,40000000,5.25,0.081048707,28.43934508
44,5201528462,0.881487461,40000000,5.25,0.090191608,19.6196625
45,3896289720,0.848046419,40000000,5.25,0.081651677,27.35789677
46,4283090852,0.832328911,40000000,5.25,0.101306587,25.07368878
47,4251624461,0.847237479,40000000,5.25,0.105382699,24.75659203
48,3825176266,0.82757034,40000000,5.25,0.099804402,28.26111393
49,4025481110,0.835684463,40000000,5.25,0.088276648,26.77032651
50,5065541115,0.749416428,40000000,5.25,0.105839897,23.48482626
51,4074262251,0.74908101,40000000,5.25,0.098390584,29.3373351
52,4081030583,0.847936158,40000000,5.25,0.117841042,25.58507606
53,3870110959,0.860962013,40000000,5.25,0.079747605,27.15915862
54,4911673071,0.853435819,40000000,5.25,0.089150847,21.47319313
55,3956861545,0.844005888,40000000,5.25,0.056845309,27.45002822
56,3468835578,0.830271709,40000000,5.25,0.083951394,31.345926
57,4185598615,0.900424059,40000000,5.25,0.082692177,23.9713103
58,4375756853,0.851146151,40000000,5.25,0.094094063,24.09968928
59,4259700738,0.840342393,40000000,5.25,0.094667257,25.06633056
60,5153292561,0.872761094,40000000,5.25,0.108201108,19.7954032
61,5007183142,0.829900775,40000000,5.25,0.06618129,21.94518022
62,4230555424,0.896679644,40000000,5.25,0.030654192,24.52101625
63,4597920650,0.824430927,40000000,5.25,0.108955078,23.47683872
64,4368425831,0.838641362,40000000,5.25,0.098643805,24.43621965
65,4103460500,0.801987026,40000000,5.25,0.087174685,27.38226518
66,4332852327,0.734586643,40000000,5.25,0.087951572,28.29941648
67,4206952410,0.848559791,40000000,5.25,0.096631215,25.10654708
68,3853534620,0.815031639,40000000,5.25,0.07446272,28.89962741
69,4021966300,0.760141225,40000000,5.25,0.056270492,29.99483117
70,4486832990,0.820881895,40000000,5.25,0.086442235,24.47641869
71,4142837984,0.870222634,40000000,5.25,0.094162022,24.89565351
72,3392274185,0.817009462,40000000,5.25,0.104955406,32.18398939
73,4237193350,0.848183881,40000000,5.25,0.078541221,25.1972435
74,4429561013,0.802218786,40000000,5.25,0.047390533,25.93479472
75,3658599018,0.84590518,40000000,5.25,0.046961805,29.78541892
76,4198972623,0.889743694,40000000,5.25,0.122079036,23.63967156
77,4340294153,0.888906871,40000000,5.25,0.092440944,23.28651274
78,5063921421,0.856306925,40000000,5.25,0.066115201,21.03093441
79,3242779027,0.793088254,40000000,5.25,0.142287338,33.93675168
80,3579391150,0.844497123,40000000,5.25,0.119891678,29.25464402
81,4046870560,0.888129781,40000000,5.25,0.064949078,25.39011735
82,5024755235,0.890779988,40000000,5.25,0.043308776,20.63663866
83,4344732818,0.872453143,40000000,5.25,0.051089377,24.26240746
84,4002862393,0.847859139,40000000,5.25,0.079782673,26.66371739
85,4662955433,0.907707916,40000000,5.25,0.059800237,21.62276793
86,3483497406,0.747428549,40000000,5.25,0.091676004,34.52111478
87,3871246992,0.858592718,40000000,5.25,0.126324378,26.5055301
88,5120210120,0.760757178,40000000,5.25,0.087182512,23.13402442
89,3475913649,0.850158071,40000000,5.25,0.051888711,31.10829962
90,4973706328,0.867750999,40000000,5.25,0.084019066,20.91669469
91,4583698365,0.878445624,40000000,5.25,0.028228069,23.13259391
92,3347961280,0.751644888,40000000,5.25,0.060891374,36.346216
93,4013174271,0.849167479,40000000,5.25,0.088178563,26.42754002
94,4169303365,0.884299512,40000000,5.25,0.048002347,24.98763568
95,3494260996,0.802336832,40000000,5.25,0.077213476,32.32485421
96,3653993583,0.780980465,40000000,5.25,0.098676233,31.37033991
97,4274943106,0.840007404,40000000,5.25,0.088050787,25.08166379
98,4350904821,0.772482146,40000000,5.25,0.063998864,27.16595014
99,4425921981,0.843419051,40000000,5.25,0.090402555,24.0956762
100,4779468478,0.84268915,40000000,5.25,0.012866741,23.32253681
101,4794271382,0.892575778,40000000,5.25,0.077516329,21.17416518
102,4481504533,0.825754365,40000000,5.25,0.018808609,25.30073355
103,3403138376,0.803418593,40000000,5.25,0.09846297,32.74604746
104,3829100559,0.788711687,40000000,5.25,0.065742907,30.20307037
105,4979171611,0.8429922,40000000,5.25,0.060681492,21.79329661
106,4631266191,0.849005771,40000000,5.25,0.092684349,22.84593769
107,4197568455,0.875708438,40000000,5.25,0.090106964,24.47385268
108,3498818360,0.823628658,40000000,5.25,0.032485923,32.24633237
109,4464379314,0.840862971,40000000,5.25,0.010191376,25.05948082
110,4441801025,0.851713754,40000000,5.25,0.096374666,23.69453531
111,3746183813,0.822052716,40000000,5.25,0.068287398,29.57698952
112,3388422712,0.841694436,40000000,5.25,0.083171891,31.66837676
113,4130588870,0.786784292,40000000,5.25,0.035455514,28.54639429
114,3478423553,0.828125131,40000000,5.25,0.133221395,30.46100936
115,5283885041,0.868521897,40000000,5.25,0.066565745,19.86691826
116,4559507492,0.745662196,40000000,5.25,0.084192597,26.5500491
117,3458595223,0.837924936,40000000,5.25,0.079409278,31.23218374
118,4309221085,0.761443367,40000000,5.25,0.066203166,27.7918244
119,3208489533,0.889568132,40000000,5.25,0.077773833,31.7417373
120,3535084641,0.89624256,40000000,5.25,0.077052123,28.60638801
121,4929966924,0.855097447,40000000,5.25,0.05929313,21.71614754
122,4328496072,0.83261485,40000000,5.25,0.076247771,25.1596952
123,3132535392,0.852372216,40000000,5.25,0.079483232,33.89718895
124,3885465718,0.839930576,40000000,5.25,0.049688086,28.20283351
125,4542768479,0.899859609,40000000,5.25,0.078123405,22.15792019
126,4205059036,0.926518142,40000000,5.25,0.030092825,23.88261594
127,4459994113,0.881997519,40000000,5.25,0.083037651,22.96198273
128,4659386628,0.799129354,40000000,5.25,0.025446986,25.05392103
129,3175871801,0.754869086,40000000,5.25,0.089381027,37.54094768
130,5015798270,0.771715495,40000000,5.25,0.090904551,23.23080939
131,3426325929,0.75104418,40000000,5.25,0.111456108,34.53290603
132,3720063124,0.769222719,40000000,5.25,0.137538655,30.58581829
133,5048255977,0.763704199,40000000,5.25,0.099943891,23.20300732
134,3306976495,0.85378541,40000000,5.25,0.119821191,31.32132427
135,3725885192,0.849562913,40000000,5.25,0.028809283,29.41649052
136,3973091281,0.882343331,40000000,5.25,0.086931942,25.70875085
137,3832236900,0.77774015,40000000,5.25,0.07514247,30.44190518
